"Syntaxon","EVCcode","Name","VerbalDiagnosis"
"AC01B","LOI-01B","Rhododendro ferruginei-Vaccinion Br.-Bl. ex Schnyder 1930","Relic subalpine and alpine silicicolous chionophilous low heath of the Alps"
"AC01C","LOI-01C","Vaccinion myrtilli Krajina 1933","Relic subalpine and alpine silicicolous chionophilous dwarf heath of the Western Carpathians"
"AC01D","LOI-01D","Rhododendrion myrtifolii de Foucault ex Theurillat et Mucina in Mucina et al. 2016","Relic subalpine and alpine acidophilous chionophilous dwarf heath of the Eastern and Southern Carpathians"
"AC01E","LOI-01E","Rhododendrion caucasici Onipchenko 2002","Rhododendron-dominated ericoid chionophilous low scrub of the Caucasus"
"AC02","LOI-02","Vaccinio microphylli-Juniperetalia nanae Rivas-Mart. et M. Costa 1998","Subxeric and subthermophilous low juniper scrub in the supramontane to subalpine belts of Southern Europe and the Caucasus"
"AC02A","LOI-02A","Juniperion nanae Br.-Bl. in Br.-Bl. et al. 1939","Subalpine chionophobous silicicolous low juniper scrub of the nemoral mountain ranges of Europe"
"AC02B","LOI-02B","Daphno oleoidis-Juniperion alpinae Stanisci 1997","Subalpine and supramontane chionophobous calcicolous dry low juniper scrub of the Central and Southern Apennines"
"AC02C","LOI-02C","Aconito nasuti-Juniperion communis Onipchenko 2002","Subalpine chionophobous silicicolous low juniper scrub of the Caucausus"
"AC03","LOI-03","Deschampsio flexuosae-Vaccinietalia myrtilli Dahl 1957","Zonal arctic and montane boreo-arctic acidophilous dwarf heath of Scandinavia, northern Eurasia, Arctic Ocean archipelagos and North America"
"AC03A","LOI-03A","Loiseleurio-Arctostaphylion Kalliola ex Nordhagen 1943","Arctic and boreo-alpine tundra scrub in wind-exposed habitats of Scandinavia, Northern Russia, Svalbard, Iceland and Greenland"
"AC03B","LOI-03B","Phyllodoco-Vaccinion myrtilli Nordhagen 1943","Moderately chionophilous dwarf scrub of the boreal and hemiarctic zones of Fennoscandia, Iceland, Northern Russia and Greenland"
"AD","SAX","Saxifrago tricuspidatae-Calamagrostietea purpurascentis Drees et Daniëls 2009","Cryo-xerophytic steppe and associated scrub on base-rich and (sub)saline substrates in continental Greenland and North America"
"AD01","SAX-01","Saxifrago tricuspidatae-Calamagrostietalia purpurascentis Drees et Daniëls 2009","Cryo-xerophytic steppe and associated scrub on base-rich and (sub)saline substrates in continental Greenland and North America"
"AD01A","SAX-01A","Saxifrago tricuspidatae-Calamagrostion purpurascentis Cooper ex Drees et Daniëls 2009","Cryo-xerophytic steppe and associated scrub on base-rich substrates in continental Greenland and North America"
"AD01B","SAX-01B","Puccinellion nuttallianae Daniëls in Chytrý et al. 2015","Low Arctic (sub)saline steppe vegetation on loess and clayey sediments in Greenland"
"AE","COC","Saxifrago cernuae-Cochlearietea groenlandicae Mucina et Daniëls in Mucina et al. 2016","Vegetation of open grassy tundra disturbed by zoo-anthropogenic activities and cryoturbation in Svalbard and Greenland"
"AE01","COC-01","Phippsio-Cochleariopsietalia groenlandicae Hadač 1989","Vegetation of open grassy tundra disturbed by zoo-anthropogenic activities and cryoturbation in Svalbard and Greenland"
"AE01A","COC-01A","Cochleariopsion groenlandicae Hadač 1989","Vegetation of anthropogenic disturbed habitats in Svalbard and Greenland"
"AE01B","COC-01B","Cerastio arctici-Saxifragion cernuae H. Hartmann ex Mucina et Daniëls in Mucina et al. 2016","Vegetation of bird-manured and disturbed cliff habitats in Svalbard"
"BA","PIC","Vaccinio-Piceetea Br.-Bl. in Br.-Bl. et al. 1939","Holarctic coniferous and boreo-subarctic birch forests on oligotrophic and leached soils in the boreal zone and at high-altitudes of mountains in the nemoral zone of Eurasia"
"BA01","PIC-01","Piceetalia excelsae Pawłowski et al. 1928","European boreo-montane and subalpine spruce and pine forests on nutrient-poor soils"
"BA01A","PIC-01A","Piceion excelsae Pawłowski et al. 1928","European boreo-montane spruce forests and subalpine open pine woods on nutrient-poor podzolic soils"
"BA01B","PIC-01B","Pinion peucis Horvat 1950","Acidophilous Macedonian-pine forests in the montane to subalpine belts of the Southern Balkans"
"BA02","PIC-02","Piceo obovatae-Pinetalia sibiricae Ermakov 2013","Zonal mesophilous boreal coniferous forests on podzolic soils of easternmost European Russia, the Urals and Siberia"
"BA02A","PIC-02A","Aconito rubicundi-Abietion sibiricae Anenkhonov et Chytrý 1998","Zonal mesophilous boreal coniferous forests with tall-herb undergrowth of easternmost European Russia, the Urals and Siberia"
"BA03","PIC-03","Pinetalia sylvestris Oberd. 1957","Holarctic boreo-temperate pine forests on nutrient-poor and hydromorphic soils"
"BA03A","PIC-03A","Dicrano-Pinion sylvestris (Libbert 1933) W. Matuszkiewicz 1962 nom. conserv. propos.","European temperate and subboreal pine forests on nutrient-poor acidic sandy soils"
"BA03B","PIC-03B","Cladonio stellaris-Pinion sylvestris Kielland-Lund ex Ermakov et Morozova 2011","Northern European and Western Siberian boreal oligotrophic pine forests"
"BA04","PIC-04","Vaccinio myrtilli-Betuletalia pubescentis Mucina et Willner ined.","European boreo-subarctic and orotemperate birch woods and krummholz on nutrient-poor podzolic soils"
"BA04A","PIC-04A","Betulion carpatico-pubescentis Rivas-Mart. et M. Costa in Rivas-Mart. et al. 2002","Orotemperate birch forests on podzolic soils in the montane and subalpine belts of the Alps and the Pyrenees"
"BA04B","PIC-04B","Empetro hermaphroditi-Betulion pumilae Mucina, Willner et Grabherr ined.","Boreal-subartic low birch woods and krummholz of Scandinavia and the Arctic Ocean islands"
"BA05","PIC-05","Ledo palustris-Laricetalia gmelinii Ermakov in Ermakov et Alsynbayev 2004","Northeastern Eurasian taiga on long-frozen soils and permafrost"
"BA05A","PIC-05A","Empetro-Piceion obovatae Morozova et al. 2008","Northeastern European taiga on long-frozen soils and permafrost"
"BA06","PIC-06","Athyrio filicis-feminae-Piceetalia Hadač in Hadač et al. 1969","European boreo-montane spruce, fir and pine forests on nutrient-rich soils"
"BA06A","PIC-06A","Chrysanthemo rotundifolii-Piceion (Krajina 1933) Březina et Hadač in Hadač 1962","Mesic herb-rich spruce forests of the Central and Northern European mountains"
"BA06B","PIC-06B","Abieti-Piceion (Br.-Bl. in Br.-Bl. et al. 1939) Soó 1964","Mesophilous fir forests on brown forest soils of the Central and southwestern European mountains"
"BA06C","PIC-06C","Calamagrostio-Abietion Horvat 1962 nom. invers. propos.","Mesic herb-rich fir forests on limestone and dolomite boulder screes in the montane and subalpine belts of the Western Balkans"
"BA06D","PIC-06D","Seslerio caeruleae-Pinion uncinatae Vigo 1974","Mesic herb-rich pine forests in the montane and subalpine belts of the Western Alps and the Pyrenees"
"BA07","PIC-07","Vaccinio uliginosi-Pinetalia sylvestris Passarge 1968","Eurasian open pine and spruce woods in oligotrophic mires"
"BA07A","PIC-07A","Vaccinio uliginosi-Pinion sylvestris Passarge 1968","Eurasian open pine woods in oligotrophic mires"
"BA07B","PIC-07B","Eriophoro-Piceion abietis Passarge 1968","Eurasian spruce forests on oligotrophic mires"
"BA08","PIC-08","Calamagrostio purpureae-Piceetalia obovatae Lapshina 2010","Boreal spruce mires of Eastern Europe and Siberia"
"BA08A","PIC-08A","Calamagrostio canescentis-Piceion abietis Solomeshch in Willner et al. 2015","Boreal spruce mires of Eastern Europe and Siberia"
"BB","ASA","Asaro europaei-Abietetea sibiricae Ermakov, Mucina et Zhitlukhina in Willner et al. 2016","Cool-temperate coniferous and mixed montane forests with nemoral and hemiboreal floristic elements of the Southern Urals and Southern Siberia"
"BB01","ASA-01","Abietetalia sibiricae (Ermakov in Ermakov et al. 2000) Ermakov 2006","Cool-temperate coniferous and mixed broad-leaved coniferous montane forests with nemoral and hemiboreal floristic elements of the Southern Urals and Southern Siberia"
"BB01A","ASA-01A","Aconito septentrionalis-Piceion obovatae Solomeshch, Grigoriev, Khaziakhmetov et Baisheva in Martynenko et al. 2008","Cool-temperate coniferous and mixed broad-leaved coniferous montane forests of the Southern Urals"
"BC","BRA","Brachypodio pinnati-Betuletea pendulae Ermakov et al. 1991","Hemiboreal pine and birch-pine herb-rich open forests on fertile soils of the Southern Urals and Southern Siberia, and relict birch-poplar forests of Europe"
"BC01","BRA-01","Chamaecytiso ruthenici-Pinetalia sylvestris Solomeshch et Ermakov in Ermakov et al. 2000","Hemiboreal pine and birch-pine herb-rich open forests on fertile soils of the Southern Urals and Southern Siberia"
"BC01A","BRA-01A","Caragano fruticis-Pinion sylvestris Solomeshch et al. 2002","Xeric pine-larch herb-rich open forests of the Southern Urals"
"BC01B","BRA-01B","Veronico teucrii-Pinion sylvestris Ermakov et Solomeshch in Ermakov et al. 2000","Birch-pine, pine and larch herb-rich open forests on dry soils of the Southern Urals"
"BC01C","BRA-01C","Trollio europaei-Pinion sylvestris Fedorov in Ermakov et al. 2000","Birch-pine herb-rich open forests on mesic soils of the Southern Urals"
"BC02","BRA-02","Fragario vescae-Populetalia tremulae Willner et Mucina in Willner et al. 2016 nom. inval. (3b)","Relict extrazonal temperate deciduous birch-poplar woods on mineral soils of Europe"
"BC02A","BRA-02A","Fragario vescae-Populion tremulae Willner et Mucina ined.","Relict extrazonal temperate deciduous birch-poplar woods on mineral soils of Europe"
"BD","PYR","Pyrolo-Pinetea sylvestris Korneck 1974","Euro-Siberian (sub)continental psammophilous (sub)thermophilous steppic pine forests"
"BD01","PYR-01","Astragalo monspessulani-Pinetalia sylvestris Oberd. in Theurillat et al. 1995","Thermophilous steppic pine forests in deep valleys of the Central and Western Alps"
"BD01A","PYR-01A","Ononido rotundifoliae-Pinion sylvestris Br.-Bl. 1950","Thermophilous steppic pine forests in deep valleys of the Central and Western Alps"
"BD02","PYR-02","Festuco-Pinetalia sylvestris Passarge 1968","Subcontinental north-temperate and subboreal psammophilous pine forests in the lowlands of Central and Northern Europe"
"BD02A","PYR-02A","Festuco-Pinion sylvestris Passarge 1968","Subcontinental north-temperate and subboreal psammophilous pine forests in the lowlands of Central and Northern Europe"
"BD03","PYR-03","Koelerio glaucae-Pinetalia sylvestris Ermakov 1999","Continental xeric psammophilous pine forests in the forest-steppe and steppe zones of Eastern Europe"
"BD03A","PYR-03A","Koelerio glaucae-Pinion sylvestris Ermakov 1999","Continental xeric psammophilous pine forests in the forest-steppe and steppe zones of Eastern Europe"
"CA","FAG","Carpino-Fagetea sylvaticae Jakucs ex Passarge 1968","Mesic deciduous and mixed forests of temperate Europe, Anatolia, the Caucasus and Southern Siberia"
"CA01","FAG-01","Luzulo-Fagetalia sylvaticae Scamoni et Passarge 1959","Acidophilous beech and mixed fir-beech forests on nutrient-poor soils in the nemoral zone of temperate Europe and as relicts at high altitudes of Corsica"
"CA01A","FAG-01A","Luzulo-Fagion sylvaticae Lohmeyer et Tx. in Tx. 1954","Acidophilous beech and mixed fir-beech forests of Central Europe"
"CA01B","FAG-01B","Ilici-Fagion sylvaticae Br.-Bl. 1967","Acidophilous beech forests of the atlantic regions of southwestern Europe"
"CA01C","FAG-01C","Galio rotundifolii-Fagion Gamisans 1975","Relict acidophilous beech forests on nutrient-poor soils of Corsica"
"CA02","FAG-02","Fagetalia sylvaticae Pawłowski 1928","Basiphilous beech and mixed fir-beech forests in the nemoral zone and in the montane belt of the submediterranean regions of temperate Europe"
"CA02A","FAG-02A","Aremonio-Fagion (Horvat 1950) Borhidi in Török et al. 1989","Refugial basiphilous beech and mixed fir-beech forests of the northwestern Balkans and the Eastern Alps"
"CA02B","FAG-02B","Fagion sylvaticae Luquet 1926","Partly refugial post-glacial basiphilous beech and mixed fir-beech forests of the temperate Europe"
"CA02C","FAG-02C","Geranio striati-Fagion Gentile 1970","Refugial basiphilous beech and mixed fir-beech forests of Southern Italy and the southwestern Balkans"
"CA03","FAG-03","Carpinetalia betuli P. Fukarek 1968","Oak-hornbeam and mesic oak forests on deep nutrient-rich soils of the temperate Europe"
"CA03A","FAG-03A","Carpinion betuli Issler 1931","Oak-hornbeam forests on deep nutrient-rich soils of the cool-temperate Europe and the British Isles"
"CA03B","FAG-03B","Pulmonario longifoliae-Quercion roboris Rivas-Mart. et Izco in Rivas-Mart. et al. 2002","Oak forests on deep base-rich gleyic soils of the atlantic regions of Western Europe"
"CA03C","FAG-03C","Erythronio-Carpinion (Horvat 1958) Marinček in Wallnöfer et al. 1993","Oak-hornbeam forests on deep nutrient-rich soils of the Balkans and Northern Italy"
"CA03D","FAG-03D","Castaneo sativae-Carpinion orientalis Quézel, Barbero et Akman ex Quézel et al. 1993","Thermophilous hornbeam forests on deep nutrient-rich soils of the southastern Balkans"
"CA03E","FAG-03E","Paeonio dauricae-Quercion petraeae Didukh 1996","Mesic deciduous oak forests on deep nutrient-rich soils of Crimea"
"CA03F","FAG-03F","Querco roboris-Tilion cordatae Solomeshch et Laiviņš ex Bulokhov et Solomeshch in Bulokhov et Semenishchenkov 2015","Subboreal broad-leaved and mixed forests on deep nutrient-rich soils of northwestern Russia and the Baltic countries"
"CA03G","FAG-03G","Scillo sibericae-Quercion roboris Onyshchenko 2009","Mesic deciduous mixed forests on deep nutrient-rich soils in the eastern forest-steppe zone and as extrazonal in the steppe zone of Ukraine and Russia"
"CA03H","FAG-03H","Aconito lycoctoni-Tilion cordatae Solomeshch et Grigoriev in Willner et al. 2016","Subthermophilous broad-leaved forests on deep nutrient-rich soils of the Southern Urals"
"CA04","FAG-04","Lathyro-Carpinetalia caucasicae Passarge 1981","Euxino-Hyrcanian xero-mesic oak-hornbeam forests on calcareous soils"
"CA04A","FAG-04A","Crataego-Carpinion caucasicae Passarge 1981","Caucasian xero-mesic oak-hornbeam forest on brown forest soils over limestone in the lower montane belt"
"CA04B","FAG-04B","Astrantio–Carpinion caucasicae Passarge 1981","Caucasian xero-mesic oak-hornbeam forests on shallow calcareous soils on steep slopes in the upper montane belt"
"CA05","FAG-05","Aceretalia pseudoplatani Moor 1976 nom. conserv. propos.","Scree and ravine maple-lime forests of the nemoral zone of the temperate Europe"
"CA05A","FAG-05A","Tilio-Acerion Klika 1955","Sycamore maple forests in the montane belt and cool ravines of the Central European mountain ranges"
"CA05B","FAG-05B","Melico-Tilion platyphylli Passarge et G. Hofmann 1968","Thermophilous lime forests on scree slopes at low altitudes of the southern regions of Central Europe"
"CA05C","FAG-05C","Dryopterido affinis-Fraxinion excelsioris Vanden Berghen ex Bœuf et al. in Bœuf 2011","Atlantic ash-maple scree forests of Western Europe"
"CA05D","FAG-05D","Fraxino excelsioris-Acerion pseudoplatani P. Fukarek 1969","Submediterranean mesophilous broad-leaved ash-maple scree and ravine forests of the Balkan Peninsula"
"CA05E","FAG-05E","Ostryo carpinifoliae-Tilion platyphylli (Košir et al. 2008) Čarni in Willner et al. 2016","Submediterranean xero-thermophilous broad-leaved scree and ravine forests of the Balkan Peninsula"
"CA05F","FAG-05F","Tilio pseudorubrae-Ostryion carpinifoliae S. Brullo et al. 2001","Submediterranean broad-leaved scree and ravine forests of the Southern Apennine Peninsula"
"CA06","FAG-06","Rhododendro pontici-Fagetalia orientalis Passarge 1981","Euxino-Hyrcanian oriental beech forests"
"CA06A","FAG-06A","Fagion orientalis Soó 1964","Oriental beech forests of the southeastern Balkan Peninsula, the Caucasus, Northern Anatolia and the Colchis region"
"CA06B","FAG-06B","Dentario quinquefoliae-Fagion Didukh 1996","Mesic Crimean beech forests on basic soils"
"CB","PUB","Quercetea pubescentis Doing-Kraft ex Scamoni et Passarge 1959","Oak, mixed deciduous and conifer woods of warm regions in the cool-temperate nemoral zone of Central and Southern Europe and in the supramediterranean belt of the Mediterranean, Asia Minor and Middle East"
"CB01","PUB-01","Quercetalia pubescenti-petraeae Klika 1933","Oak forests of the warm cool-temperate regions in the nemoral zone of Central and Southern Europe and relic supramediterranean fir-pine and oak forests of the Mediterranean"
"CB01A","PUB-01A","Quercion petraeae Issler 1931","Thermophilous Central European acidophilous oak forests"
"CB01B","PUB-01B","Quercion pubescenti-petraeae Br.-Bl. 1932 nom. mut.","Thermophilous Central European calciphilous oak forests"
"CB01C","PUB-01C","Aceri tatarici-Quercion Zólyomi 1957","Thermophilous oak forests on deep soils in the forest-steppe zone of the Pontic-Pannonian region"
"CB01D","PUB-01D","Lathyro pisiformis-Quercion roboris Solomeshch et Grigoriev in Willner et al. 2015","Thermophilous oak forests on fertile dark grey soils of the Southern Urals"
"CB01E","PUB-01E","Aceri granatensis-Quercion fagineae (Rivas Goday, Rigual et Rivas-Mart. 1960) Rivas-Mart. 1987","Supramediterranean submediterranean mesophytic oak and maple forests of the Iberian Peninsula and the Balearic Islands"
"CB01F","PUB-01F","Fraxino orni-Ostryion Tomažič 1940","Amphiadriatic mesic calcareous submediterranean (sub)montane and inland oak and hop-hornbeam forests on shallow soils"
"CB01G","PUB-01G","Carpinion orientalis Horvat 1958","Amphiadriatic low-altitude calcareous thermophilous oak and oriental hornbeam forests"
"CB01H","PUB-01H","Syringo-Carpinion orientalis Jakucs (1959) 1960","Submediterranean thermophilous oriental-hornbeam forests of the Central and Southern Balkans"
"CB01I","PUB-01I","Elytrigio nodosae-Quercion pubescentis Didukh 1996","Crimean submediterranean thermophilous oak woods"
"CB01J","PUB-01J","Campanulo sibiricae-Pinion brutiae Litvinskaya et Postarnak ex Mucina in Mucina et al. 2016","Western Caucasian submediterranean thermophilous Pinus brutia forests on calcareous substrates"
"CB01K","PUB-01K","Physospermo-Quercion petraeae A.O. Horvát 1976","Thermophilous chestnut and oak forests on neutral and acidic substrates of insubrian Northern Italy"
"CB01L","PUB-01L","Crataego laevigatae-Quercion cerridis Arrigoni 1997","Submediterranean acidophilous thermophilous oak forests of the central and southern regions of the Apennine Peninsula"
"CB01M","PUB-01M","Pino calabricae-Quercion congestae S. Brullo et al. 1999","Submediterranean montane Siculo-Calabrian pine-oak woods"
"CB01N","PUB-01N","Quercion confertae Horvat 1958","Thermophilous deciduous oak forests on slightly acidic deep soils of the Central Balkans"
"CB01O","PUB-01O","Quercion petraeo-cerridis Lakušić et B. Jovanović in B. Jovanović et al. ex Čarni et Mucina 2015","Thermophilous montane oak forests of the Central Balkans"
"CB01P","PUB-01P","Melitto albidae-Quercion Barbero et Quézel 1976","Thermophilous deciduous oak forests on slightly acidic deep soils of the Southern Balkans"
"CB01Q","PUB-01Q","Paeonio broteroi-Abietion pinsapo (Rivas-Mart. 1987) Rivas-Mart. et al. 2002","Relict Betic (Southern Iberian) fir forests on dolomitic and ultramafic substrates"
"CB01R","PUB-01R","Lathyro veneti-Taxion baccatae Čarni et Mucina 2015","Relict mixed deciduous oak and yew forests of Corsica and Sardinia"
"CB01S","PUB-01S","Abietion cephalonicae Horvat et al. 1974","Relict supramediterranean Hellenic fir and black pine montane forests"
"CB01T","PUB-01T","Quercion macrolepidis Zohary ex Di Pietro et al. ined.","Relict mesomediterranean deciduous oak forests of the Eastern Mediterranean"
"CB02","PUB-02","Querco-Cedretalia libani Barbero et al. 1974","Relict supramediterranean cedar woods of Southern Anatolia, Syria, Lebanon and Cyprus"
"CB02A","PUB-02A","Querco-Cedrion libani Barbero et al. 1974","Relict supramediterranean cedar woods of Cyprus"
"CC","QUE","Quercetea robori-petraeae Br.-Bl. et Tx. ex Oberd. 1957","Acidophilous oak and oak-birch forests on nutrient-poor soils of Europe"
"CC01","QUE-01","Quercetalia roboris Tx. 1931","Acidophilous oak forests on nutrient-poor soils of Europe"
"CC01A","QUE-01A","Hymenophyllo-Quercion petraeae Pallas 2000","Hyperoceanic humid acidophilous oak forests on nutrient-poor soils of Ireland"
"CC01B","QUE-01B","Quercion roboris Malcuit 1929","Temperate atlantic and subatlantic acidophilous oak forests on nutrient-poor soils of Western Europe"
"CC01C","QUE-01C","Agrostio-Quercion petraeae Scamoni et Passarge 1959","Temperate acidophilous oak forests on nutrient-poor soils of Central and Eastern Europe"
"CC01D","QUE-01D","Quercion pyrenaicae Rivas Goday ex Rivas-Martínez 1965","Acidophilous oak forests on nutrient-poor soils of the Northern Iberian Peninsula"
"CC01E","QUE-01E","Castaneo-Quercion petraeae Soó 1964","Acidophilous chestnut-oak forests on nutrient-poor soils of southeastern Europe"
"CC02","QUE-02","Lonicero periclymeni-Betuletalia pubescentis Willner et Mucina in Willner et al. 2016","Acidophilous atlantic birch forests on nutrient-poor soils of Western Europe"
"CC02A","QUE-02A","Betulion fontquerio-celtibericae Rivas-Mart. et M. Costa in Rivas-Mart. et al. 2002","Orocantabro-atlantic and oroiberian perhumid birch forests on siliceous, nutrient-poor substrates of the Northern Iberian Peninsula"
"CC02B","QUE-02B","Lonicero periclymeni-Betulion pubescentis Géhu 2006","Atlantic birch forests on nutrient-poor soils of the North Sea seaboards and northwestern France"
"CD","RHA","Crataego-Prunetea Tx. 1962 nom. conserv. propos.","Scrub and mantle vegetation seral or marginal to broad-leaved forests in the nemoral zone and the submediterranean regions of Europe"
"CD01","RHA-01","Prunetalia spinosae Tx. 1952","Scrub and mantel vegetation seral or marginal to broad-leaved forests in the nemoral zone of Europe"
"CD01A","RHA-01A","Berberidion vulgaris Br.-Bl. ex Tx. 1952 nom. conserv. propos.","Southern temperate and submediterranean thermophilous scrub of Southern and Central Europe"
"CD01B","RHA-01B","Amelanchiero-Buxion O. de Bolòs et Romo in Romo 1989","Pyrenean and Western Catalonian submediterranean subxeric scrub"
"CD01C","RHA-01C","Lonicero arboreae-Berberidion hispanicae O. de Bolòs 1954","Supra- and oromediterranean scrub on base-rich substrates of the Betic region (Southern Iberia) and the North African mountain ranges"
"CD01D","RHA-01D","Urtico-Crataegion Passarge et G. Hofmann 1968","Mesophilous hedges and scrub on mesotrophic base-rich soils of northwestern Europe"
"CD01E","RHA-01E","Astrantio-Corylion avellanae Passarge 1978","Hazel scrub on nutrient-rich soils in the submontane and montane belts of Western, Central and southeastern Europe"
"CD01F","RHA-01F","Pruno-Rubion radulae Weber 1974","Bramble scrub on neutral and base-rich soils of Western and Central Europe"
"CD01G","RHA-01G","Frangulo alni-Pyrion cordatae Herrera et al. 1991","Cantabro-Atlantic mesophilous thorny hedges and mantle on nutrient-poor acidic soils"
"CD01H","RHA-01H","Tamo communis-Viburnion lantanae (Géhu et al. 1983) Mucina in Mucina et al. 2016","Franco-Atlantic mesophilous mantle scrub on basic and neutral soils"
"CD01I","RHA-01I","Brachypodio pinnati-Juniperion communis Mucina in Mucina et al. 2016","Low-altitude thermophilous juniper scrub on calcareous substrates of Western and Central Europe"
"CD01J","RHA-01J","Prunion fruticosae Tx. 1952","Subcontinental and continental scrub in the forest-steppe and steppe zones of Central and Eastern Europe"
"CD01K","RHA-01K","Lamio purpureae-Acerion tatarici Fitsailo 2007","Mesophilous scrub on chernozem soils in the forest-steppe zone of southwestern Ukraine and Moldova"
"CD02","RHA-02","Paliuretalia Trinajstić 1978","Thermophilous mantle, pseudomaquis and šibljak fringing oak forests of the submediterranean regions of southeastern Europe"
"CD02A","RHA-02A","Cytision sessilifolii Biondi in Biondi et al. 1989","Submediterranean thermophilous broom scrub in the submontane and montane belts of the Central and Southern Apennines"
"CD02B","RHA-02B","Ilici aquifolii-Crataegion laciniatae Ubaldi 2011","Supramediterranean relict orophilous scrub of Northern Sicily"
"CD02C","RHA-02C","Fraxino orni-Cotinion Soó 1960","Thermophilous mantle vegetation of the Southern Pannonian oak forests"
"CD02D","RHA-02D","Buxo-Syringion P. Fukarek ex Diklić 1965","Submediterranean thermophilous scrub of the continental Northern and Central Balkans"
"CD02E","RHA-02E","Paliuro-Petterion P. Fukarek 1962","Submediterranean thermophilous šibljak of the eastern Adriatic seaboards of the Balkan Peninsula"
"CD02F","RHA-02F","Rhamno saxatilis-Paliurion spinae-christi Biondi, Casavecchia, Biscotti et Pesaresi in Biondi et al. 2014","Submediterranean thermophilous šibljak of the Apennine Peninsula"
"CD02G","RHA-02G","Eryngio campestris-Paliurion spinae-christi (Jovanović 1985) Matevski et al. 2008","Submediterranean thermophilous šibljak of the Central Balkans"
"CD02H","RHA-02H","Berberido creticae-Prunion cocomiliae Bergmeier 1990","Submediterranean thermophilous scrub of the Hellenic Peninsula"
"CD02I","RHA-02I","Asparago verticillati-Crataegion tauricae Korzhenevskii et Kliukin 1990","Thermophilous submediterranean scrub on deep soils of Crimea"
"CD02J","RHA-02J","Elytrigio nodosae-Rhuion coriariae Korzhenevskii et Ryff ex Didukh et Mucina 2014","Submediterranean thermophilous scrub on eroding loamy schists of Crimea"
