taxon,evc.taxon
Cardamine amara s.lat.,
Cardamine amara ssp. amara,Cardamine amara subsp. amara
Cardamine amara ssp. austriaca,Cardamine amara subsp. austriaca
Cardamine amara ssp. opicii,Cardamine amara subsp. opicii
Cardamine bulbifera,Cardamine bulbifera
Cardamine dentata,Cardamine dentata
Cardamine enneaphyllos,Cardamine enneaphylla
Cardamine flexuosa,Cardamine flexuosa
Cardamine hirsuta,Cardamine hirsuta
Cardamine impatiens,Cardamine impatiens
Cardamine kitaibelii,Cardamine kitaibelii
Cardamine matthioli,Cardamine matthioli
Cardamine parviflora,Cardamine parviflora
Cardamine pentaphyllos,Cardamine pentaphylla
Cardamine pratensis agg.,
Cardamine pratensis s.str.,Cardamine pratensis subsp. pratensis
Cardamine resedifolia,Cardamine resedifolia
Cardamine trifolia,Cardamine trifolia
Cardamine udicola,Cardamine udicola
Carduus acanthoides,Carduus acanthoides
Carduus crispus ssp. crispus,Carduus crispus subsp. crispus
Carduus defloratus s.lat.,
Carduus defloratus ssp. glaucus,Carduus defloratus subsp. glaucus
Carduus defloratus ssp. summanus,Carduus defloratus subsp. summanus
Carduus defloratus ssp. tridentinus,Carduus defloratus subsp. rhaeticus
Carduus defloratus ssp. viridis,Carduus defloratus subsp. defloratus
Carduus hamulosus,Carduus hamulosus
Carduus nutans s.lat.,
Carduus nutans ssp. nutans,Carduus nutans subsp. nutans
Carduus nutans ssp. platylepis,Carduus nutans subsp. platylepis
Carduus personata ssp. personata,Carduus personata subsp. personata
Carex acuta,Carex acuta
Carex acutiformis,Carex acutiformis
Carex alba,Carex alba
Carex appropinquata,Carex appropinquata
Carex aterrima,Carex aterrima
Carex atrata,Carex atrata
Carex atrata agg.,
Carex atrofusca,Carex atrofusca
Carex austroalpina,Carex austroalpina
Carex bicolor,Carex bicolor
Carex bigelowii,Carex bigelowii subsp. bigelowii
Carex bohemica,Carex bohemica
Carex brachystachys,Carex brachystachys
Carex brizoides,Carex brizoides
Carex brunnescens,Carex brunnescens
Carex brunnescens s.lat,Carex brunnescens
Carex brunnescens var. brunnescens,Carex brunnescens
Carex buekii,Carex buekii
Carex buxbaumii s.str.,Carex buxbaumii
Carex canescens ssp. canescens,Armeria canescens subsp. canescens
Carex capillaris,Carex capillaris
Carex caryophyllea,Carex caryophyllea
Carex cespitosa,Carex cespitosa
Carex chordorrhiza,Carex chordorrhiza
Carex cristatella,
Carex curvula s.lat.,
Carex curvula ssp. curvula,Carex curvula subsp. curvula
Carex curvula ssp. rosea,Carex curvula subsp. rosae
Carex davalliana,Carex davalliana
Carex diandra,Carex diandra
Carex digitata,Carex digitata
Carex dioica,Carex dioica
Carex distans,Carex distans
Carex disticha ssp. disticha,Carex disticha
Carex divisa,Carex divisa
Carex divulsa,Carex divulsa subsp. divulsa
Carex echinata,Carex echinata
Carex elata ssp. elata,Carex elata
Carex elongata,Carex elongata
Carex ericetorum,Carex ericetorum
Carex ferruginea s.str.,Carex ferruginea
Carex firma,Carex firma
Carex flacca ssp. flacca,Carex flacca subsp. flacca
Carex flava agg.,
Carex flava s.lat.,
Carex flava var. alpina,
Carex flava var. flava,Carex flava subsp. flava
Carex frigida,Carex frigida
Carex fuliginosa,Carex fuliginosa subsp. fuliginosa
Carex halleriana,Carex halleriana
Carex hartmanii,Carex hartmanii
Carex heleonastes,Carex heleonastes
Carex hirta,Carex hirta
Carex hordeistichos,Carex hordeistichos
Carex hostiana,Carex hostiana
Carex humilis,Carex humilis
Carex lachenalii,Carex lachenalii
Carex lasiocarpa ssp. lasiocarpa,Carex lasiocarpa
Carex lepidocarpa,Carex lepidocarpa subsp. lepidocarpa
Carex leporina,Carex leporina
Carex limosa,Carex limosa
Carex liparocarpos,Carex liparocarpos
Carex maritima,Carex maritima
Carex melanostachya,Carex melanostachya
Carex michelii,Carex michelii
Carex microglochin,Carex microglochin
Carex montana,Carex montana
Carex mucronata,Carex mucronata
Carex muricata agg.,
Carex muricata s.str.,Carex muricata
Carex nigra,Carex nigra
Carex oederi,Carex viridula subsp. viridula
Carex ornithopoda s.lat.,
Carex ornithopoda ssp. elongata,Carex ornithopoda subsp. elongata
Carex ornithopoda ssp. ornithopoda,Carex ornithopoda subsp. ornithopoda
Carex ornithopodoides,Carex ornithopodioides
Carex otrubae,Carex otrubae
Carex pallescens,Carex pallescens
Carex panicea,Carex panicea
Carex paniculata ssp. paniculata,Carex paniculata subsp. paniculata
Carex parviflora,Carex parviflora
Carex pauciflora,Carex pauciflora
Carex paupercula,Carex magellanica subsp. irrigua
Carex pediformis,Carex pediformis subsp. pediformis
Carex pendula,Carex pendula
Carex pilosa,Carex pilosa
Carex pilulifera ssp. pilulifera,Carex pilulifera subsp. pilulifera
Carex polyphylla,Carex divulsa subsp. leersii
Carex praecox,Carex praecox
Carex pseudocyperus,Carex pseudocyperus
Carex pulicaris,Carex pulicaris
Carex punctata,Carex punctata
Carex randalpina,Carex randalpina
Carex remota ssp. remota,Carex remota
Carex riparia,Carex riparia
Carex rostrata,Carex rostrata
Carex rupestris,Carex rupestris
Carex secalina,Carex secalina
Carex sempervirens ssp. sempervirens,Carex sempervirens subsp. sempervirens
Carex sempervirens ssp. tatrorum,
Carex spicata,Carex spicata
Carex stenophylla ssp. stenophylla,Carex stenophylla
Carex strigosa,Carex strigosa
Carex supina,Carex supina subsp. supina
Carex sylvatica ssp. sylvatica,Carex sylvatica subsp. sylvatica
Carex tomentosa,Carex tomentosa
Carex tumidicarpa,Carex demissa
Carex umbrosa ssp. umbrosa,Carex umbrosa subsp. umbrosa
Carex vaginata,Carex vaginata
Carex vesicaria,Carex vesicaria
Carex vulpina,Carex vulpina
Carex vulpinoidea,Carex vulpinoidea
Carlina acaulis s.lat.,
Carlina acaulis ssp. acaulis,Carlina acaulis subsp. acaulis
Carlina acaulis ssp. caulescens,Carlina acaulis subsp. caulescens
Carlina biebersteinii s.lat.,
Carlina biebersteinii ssp. biebersteinii,Carlina biebersteinii subsp. biebersteinii
Carlina biebersteinii ssp. brevibracteata,Carlina biebersteinii subsp. brevibracteata
Carlina vulgaris s.lat.,Carlina vulgaris
Carlina vulgaris ssp. vulgaris,Carlina vulgaris
Carpesium cernuum,Carpesium cernuum
Carpinus betulus,Carpinus betulus
Carthamus tinctorius,Carthamus tinctorius
Carum carvi,Carum carvi
Castanea sativa,Castanea sativa
Catabrosa aquatica,Catabrosa aquatica
Catalpa bignonioides,
Catoscopium nigritum,Catoscopium nigritum
Caucalis platycarpos s.lat.,Caucalis platycarpos
Caucalis platycarpos ssp. muricata,Caucalis platycarpos
Caucalis platycarpos ssp. platycarpos,Caucalis platycarpos
Centaurea calcitrapa,Centaurea calcitrapa
Centaurea diffusa,Centaurea diffusa
Centaurea jacea s.lat.,
Centaurea jacea ssp. angustifolia,Centaurea jacea subsp. angustifolia
Centaurea jacea ssp. jacea,Centaurea jacea subsp. jacea
Centaurea jacea ssp. macroptilon,Centaurea macroptilon
Centaurea jacea ssp. subjacea,Centaurea subjacea
Centaurea julica,Centaurea jacea subsp. julica
Centaurea nigra,Centaurea nigra subsp. nigra
Centaurea nigrescens s.lat,
Centaurea nigrescens ssp. nigrescens,Centaurea nigrescens subsp. nigrescens
Centaurea pseudophrygia,Centaurea phrygia subsp. pseudophrygia
Centaurea scabiosa s.lat.,
Centaurea scabiosa ssp. alpestris,Centaurea scabiosa subsp. alpestris
Centaurea scabiosa ssp. badensis,Centaurea scabiosa subsp. badensis
Centaurea scabiosa ssp. scabiosa,Centaurea scabiosa subsp. scabiosa
Centaurea solstitialis,Centaurea solstitialis
Centaurea stoebe s.lat.,
Centaurea stoebe ssp. australis,Centaurea stoebe subsp. australis
Centaurea stoebe ssp. stoebe,Centaurea stoebe subsp. stoebe
Centaurium erythraea ssp. erythraea,Centaurium erythraea subsp. erythraea
Centaurium littorale,Centaurium littorale subsp. littorale
Centaurium pulchellum,Centaurium pulchellum
Centranthus ruber,Centranthus ruber subsp. ruber
Centunculus minimus,Anagallis minima
Cephalanthera damasonium,Cephalanthera damasonium
Cephalanthera longifolia,Cephalanthera longifolia
Cephalanthera rubra,Cephalanthera rubra
Cephalaria gigantea,Cephalaria gigantea
Cephalozia connivens ,Cephalozia connivens
Cephalozia loitlesbergeri,Cephalozia loitlesbergeri
Cerastium alpinum agg.,
Cerastium alpinum s.str.,Cerastium alpinum subsp. alpinum
Cerastium arvense s.lat.,
Cerastium arvense ssp. arvense,Cerastium arvense subsp. arvense
Cerastium arvense ssp. strictum,Cerastium arvense subsp. strictum
Cerastium arvense ssp. suffruticosum,Cerastium arvense subsp. suffruticosum
Cerastium brachypetalum ssp. brachypetalum,Cerastium brachypetalum subsp. brachypetalum
Cerastium carinthiacum ssp. austroalpinum,Cerastium carinthiacum subsp. austroalpinum
Cerastium carinthiacum ssp. carinthiacum,Cerastium carinthiacum subsp. carinthiacum
Cerastium cerastoides,Cerastium cerastoides
Cerastium dubium,Cerastium dubium
Cerastium eriophorum,Cerastium eriophorum
Cerastium fontanum s.str.,Cerastium fontanum subsp. fontanum
Cerastium glomeratum,Cerastium glomeratum
Cerastium glutinosum,Cerastium glutinosum
Cerastium holosteoides,Cerastium fontanum subsp. vulgare
Cerastium latifolium,Cerastium latifolium
Cerastium lucorum,Cerastium fontanum subsp. lucorum
Cerastium pedunculatum,Cerastium pedunculatum
Cerastium pumilum agg.,
Cerastium pumilum s.str.,Cerastium pumilum
Cerastium semidecandrum ssp. semidecandrum,Cerastium semidecandrum
Cerastium sylvaticum,Cerastium sylvaticum
Cerastium tenoreanum,Cerastium brachypetalum subsp. tenoreanum
Cerastium tomentosum,Cerastium tomentosum
Cerastium uniflorum,Cerastium uniflorum
Ceratocapnos claviculata ssp. claviculata,Ceratocapnos claviculata
Ceratocephala falcata,Ceratocephala falcata
Ceratophyllum demersum s.str.,Ceratophyllum demersum
Ceratophyllum submersum ssp. submersum,Ceratophyllum submersum
Cerinthe glabra,Cerinthe glabra
Cerinthe minor ssp. minor,Cerinthe minor subsp. minor
Cervaria rivini,Peucedanum cervaria
Cetraria aculeata,Cetraria aculeata
Cetraria ericetorum,Cetraria ericetorum
Cetraria islandica s.lat.,Cetraria islandica
Cetraria islandica ssp. islandica,Cetraria islandica
Cetraria muricata,Cetraria muricata
Chaenomeles speciosa,
Chaerophyllum aromaticum,Chaerophyllum aromaticum
Chaerophyllum aureum,Chaerophyllum aureum
Chaerophyllum bulbosum,Chaerophyllum bulbosum
Chaerophyllum hirsutum s.str.,Chaerophyllum hirsutum
Chaerophyllum temulum,Chaerophyllum temulum
Chaerophyllum villarsii,Chaerophyllum villarsii
Chamaecyparis lawsoniana,
Chamaecyparis pisifera,
Chamaecytisus austriacus,Cytisus austriacus subsp. austriacus
Chamaecytisus hirsutus s.lat.,
Chamaecytisus hirsutus ssp. ciliatus,
Chamaecytisus hirsutus ssp. hirsutus,Cytisus hirsutus subsp. hirsutus
Chamaecytisus ratisbonensis,Cytisus ratisbonensis
Chamaecytisus supinus,Cytisus hirsutus subsp. hirsutus
Chamaemelum nobile,Chamaemelum nobile
Chamorchis alpina,Chamorchis alpina
Chara rudis,
Chelidonium majus,Chelidonium majus
Chenopodium album s.lat.,
Chenopodium album ssp. album,Chenopodium album subsp. album
Chenopodium album ssp. borbasii,Chenopodium album subsp. borbasii
Chenopodium album ssp. pedunculare,Chenopodium album subsp. pedunculare
Chenopodium berlandieri ssp. zschackei,
Chenopodium bonus-henricus,Blitum bonus-henricus
Chenopodium capitatum,Blitum capitatum
Chenopodium chenopodioides,Oxybasis chenopodioides
Chenopodium ficifolium ssp. ficifolium,Chenopodium ficifolium
Chenopodium foliosum,Chenopodium ficifolium
Chenopodium giganteum,Chenopodium giganteum
Chenopodium glaucum,Oxybasis glauca
Chenopodium hybridum,Chenopodiastrum hybridum
Chenopodium murale,Chenopodiastrum murale
Chenopodium opulifolium,Chenopodium opulifolium
Chenopodium polyspermum,Lipandra polysperma
Chenopodium probstii,Chenopodium probstii
Chenopodium rubrum s.str.,Oxybasis rubra
Chenopodium striatiforme,
Chenopodium strictum s.str.,Chenopodium strictum
Chenopodium suecicum,Chenopodium suecicum
Chenopodium urbicum,Oxybasis urbica
Chenopodium virgatum,Blitum virgatum
Chenopodium vulvaria,Chenopodium vulvaria
Chimaphila umbellata,Chimaphila umbellata
Chlorocrepis staticifolia,Tolpis staticifolia
Chondrilla chondrilloides,Chondrilla chondrilloides
Chondrilla juncea,Chondrilla juncea
Chrysosplenium alternifolium,Chrysosplenium alternifolium
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium
Cichorium endivia,
Cichorium intybus,Cichorium intybus
Cicuta virosa,Cicuta virosa
Circaea alpina,Circaea alpina
Circaea lutetiana ssp. lutetiana,Circaea lutetiana
Cirsium acaule,Cirsium acaulon subsp. acaulon
Cirsium arvense,Cirsium arvense
Cirsium canum,Cirsium canum
Cirsium carniolicum,Cirsium carniolicum subsp. carniolicum
Cirsium dissectum,Cirsium dissectum
Cirsium eriophorum ssp. eriophorum,Cirsium eriophorum
Cirsium erisithales,Cirsium erisithales
Cirsium heterophyllum,Cirsium heterophyllum
Cirsium oleraceum,Cirsium oleraceum
Cirsium palustre,Cirsium palustre
Cirsium pannonicum,Cirsium pannonicum
Cirsium rivulare,Cirsium rivulare
Cirsium spinosissimum,Cirsium spinosissimum
Cirsium vulgare,Cirsium vulgare
Citrullus lanatus,
Cladium mariscus,Cladium mariscus
Cladonia amaurocraea,Cladonia amaurocraea
Cladonia arbuscula s.lat.,Cladonia arbuscula
Cladonia arbuscula ssp. mitis,Cladonia arbuscula
Cladonia arbuscula ssp. squarrosa,Cladonia arbuscula
Cladonia bellidiflora,Cladonia bellidiflora
Cladonia chlorophaea,Cladonia chlorophaea
Cladonia crispata s.lat.,Cladonia crispata
Cladonia crispata var. cetrariiformis,Cladonia crispata
Cladonia crispata var. crispata,Cladonia crispata
Cladonia ecmocyna,Cladonia ecmocyna
Cladonia fimbriata,Cladonia fimbriata
Cladonia furcata s.lat.,Cladonia furcata
Cladonia furcata ssp. furcata,Cladonia furcata
Cladonia gracilis,Cladonia gracilis
Cladonia pocillum,Cladonia pocillum
Cladonia rangiferina,Cladonia rangiferina
Cladonia rangiformis,Cladonia rangiformis
Cladonia subulata,Cladonia subulata
Cladonia symphycarpa,Cladonia symphycarpa
Cladonia uncialis s.lat.,Cladonia uncialis
Cladonia uncialis ssp. uncialis,Cladonia uncialis
Cladopodiella fluitans,Cladopodiella fluitans
Clarkia unguiculata,
Claytonia perfoliata,Claytonia perfoliata
Cleistogenes serotina,
Clematis alpina ssp. alpina,Clematis alpina
Clematis integrifolia,Clematis integrifolia
Clematis orientalis,
Clematis recta,Clematis recta
Clematis vitalba,Clematis vitalba
Cleome spinosa,
Clinopodium acinos,Clinopodium acinos
Clinopodium alpinum ssp. alpinum,Clinopodium alpinum subsp. alpinum
Clinopodium foliosum,
Clinopodium grandiflorum,Clinopodium grandiflorum
Clinopodium menthifolium,Clinopodium menthifolium subsp. menthifolium
Clinopodium nepeta s.str.,Clinopodium nepeta subsp. nepeta
Clinopodium vulgare ssp. vulgare,Clinopodium vulgare subsp. vulgare
Cochlearia officinalis,Cochlearia officinalis
Cochlearia pyrenaica s.strictiss.,Cochlearia pyrenaica
Coeloglossum viride,Dactylorhiza viridis
Colchicum autumnale,Colchicum autumnale
Colutea arborescens,Colutea arborescens subsp. arborescens
Comarum palustre,Comarum palustre
Comastoma nanum,
Comastoma tenellum,Comastoma tenellum
Commelina communis,Commelina communis
Conioselinum tataricum,Conioselinum tataricum
Conium maculatum,Conium maculatum
Conocephalum conicum,Conocephalum conicum
Conringia austriaca,Conringia austriaca
Conringia orientalis,Conringia orientalis
Consolida ajacis,Consolida ajacis
Consolida hispanica,Consolida hispanica
Consolida regalis ssp. regalis,Consolida regalis subsp. regalis
Convallaria majalis ssp. majalis,Convallaria majalis
Convolvulus arvensis,Convolvulus arvensis
Corallorhiza trifida,Corallorhiza trifida
Coreopsis lanceolata,
Coreopsis tinctoria,
Coriandrum sativum,Coriandrum sativum
Corispermum pallasii,Corispermum intermedium
Cornus alba s. propr. non auct.,
Cornus mas,Cornus mas
Cornus sanguinea s.lat.,
Cornus sanguinea ssp. australis,Cornus sanguinea subsp. australis
Cornus sanguinea ssp. hungarica,Cornus sanguinea subsp. hungarica
Cornus sanguinea ssp. sanguinea,Cornus sanguinea subsp. sanguinea
Cornus sericea,Cornus sericea
Coronilla coronata,Coronilla coronata
Coronilla minima,Coronilla minima subsp. minima
Coronilla vaginalis,Coronilla vaginalis
Corrigiola litoralis,Corrigiola litoralis subsp. litoralis
Corydalis cava,Corydalis cava subsp. cava
Corydalis intermedia,Corydalis intermedia
Corydalis pumila,Corydalis pumila
Corydalis solida,Corydalis solida
Corylus avellana,Corylus avellana
Corylus colurna,Corylus colurna
Corylus maxima,
Corynephorus canescens,Corynephorus canescens
Cosmos bipinnatus,
Cotinus coggygria,Cotinus coggygria
Cotoneaster bullatus,
Cotoneaster dammeri,
Cotoneaster dielsianus,
Cotoneaster divaricatus,
Cotoneaster horizontalis,
Cotoneaster integerrimus,Cotoneaster integerrimus
Cotoneaster salicifolius,Cotoneaster salicifolius
Cotoneaster tomentosus,Cotoneaster tomentosus
Crataegus laevigata agg.,
Crataegus laevigata ssp. laevigata,Crataegus laevigata
Crataegus monogyna,Crataegus monogyna
Crataegus rhipidophylla ssp. lindmanii,Crataegus rhipidophylla
Crataegus rhipidophylla ssp. rhipidophylla,Crataegus rhipidophylla
Cratoneuron filicinum,Cratoneuron filicinum
Crepis alpestris,Crepis alpestris
Crepis aurea ssp. aurea,Crepis aurea
Crepis biennis,Crepis biennis
Crepis capillaris,Crepis capillaris
Crepis conyzifolia,Crepis conyzifolia
Crepis foetida ssp. foetida,Crepis foetida subsp. foetida
Crepis foetida ssp. rhoeadifolia,Crepis foetida subsp. rhoeadifolia
Crepis froelichiana,Crepis froelichiana subsp. froelichiana
Crepis jacquinii s.lat.,
Crepis jacquinii ssp. jacquinii,Crepis jacquinii subsp. jacquinii
Crepis jacquinii ssp. kerneri,Crepis jacquinii subsp. kerneri
Crepis mollis s.lat.,Crepis mollis
Crepis mollis ssp. mollis,Crepis mollis
Crepis mollis ssp. succisifolia,Crepis mollis
Crepis nicaeensis,Crepis nicaeensis
Crepis paludosa,Crepis paludosa
Crepis pontana,Crepis pontana
Crepis praemorsa,Crepis praemorsa
Crepis pulchra,Crepis pulchra
Crepis pyrenaica,Crepis pyrenaica
Crepis setosa,Crepis setosa
Crepis tectorum,Crepis tectorum
Crepis terglouensis,Crepis terglouensis
Crepis vesicaria ssp. taraxacifolia,Crepis vesicaria subsp. taraxacifolia
Crocus albiflorus,Crocus biflorus subsp. biflorus
Crocus flavus,Crocus flavus
Crocus purpureus,
Crocus tommasinianus,Crocus tommasinianus
Crocus vernus s.str.,Crocus vernus subsp. vernus
Cruciata glabra,Cruciata glabra
Cruciata laevipes,Cruciata laevipes
Cruciata pedemontana,Cruciata pedemontana
Crypsis aculeata,
Crypsis alopecuroides,
Cryptogramma crispa,Cryptogramma crispa
Ctenidium molluscum s.lat.,Ctenidium molluscum
Ctenidium molluscum var. molluscum,Ctenidium molluscum
Cucumis melo,
Cucumis sativus,
Cucurbita pepo,
Cuscuta campestris,Cuscuta campestris
Cuscuta epilinum,Cuscuta epilinum
Cuscuta epithymum ssp. epithymum,Cuscuta epithymum subsp. epithymum
Cuscuta europaea,Cuscuta europaea
Cuscuta lupuliformis,Cuscuta lupuliformis
Cuscuta suaveolens,
Cyanus montanus ssp. montanus,Cyanus montanus
Cyanus segetum,Cyanus segetum
Cyanus triumfettii,Cyanus triumfettii subsp. triumfettii
Cyclamen purpurascens,Cyclamen purpurascens
Cydonia oblonga,Cydonia oblonga
Cymbalaria muralis,Cymbalaria muralis
Cynodon dactylon,Cynodon dactylon
Cynodontium polycarpon,Cynodontium polycarpon
Cynoglossum officinale,Cynoglossum officinale
Cynosurus cristatus,Cynosurus cristatus
Cynosurus echinatus,Cynosurus echinatus
Cyperus esculentus,Cyperus esculentus
Cyperus flavescens,Pycreus flavescens
Cyperus fuscus,Cyperus fuscus
Cyperus longus,Cyperus longus subsp. longus
Cyperus michelianus,Cyperus michelianus
Cypripedium calceolus,Cypripedium calceolus
Cystopteris alpina,Cystopteris alpina
Cystopteris dickieana,Cystopteris dickieana
Cystopteris fragilis s.str.,Cystopteris fragilis subsp. fragilis
Cystopteris montana,Cystopteris montana
Cytisus nigricans ssp. nigricans,Cytisus nigricans subsp. nigricans
Cytisus procumbens,Cytisus procumbens
Cytisus scoparius ssp. scoparius,Cytisus scoparius subsp. scoparius
Dactylis glomerata agg.,
Dactylis glomerata ssp. glomerata,Dactylis glomerata subsp. glomerata
Dactylis polygama,Dactylis glomerata subsp. lobata
Dactylorhiza cruenta,
Dactylorhiza curvifolia,
Dactylorhiza incarnata s.lat.,
Dactylorhiza incarnata ssp. incarnata,Dactylorhiza incarnata subsp. incarnata
Dactylorhiza incarnata ssp. ochroleuca,Dactylorhiza incarnata subsp. ochroleuca
Dactylorhiza isculana,
Dactylorhiza lapponica,Dactylorhiza lapponica subsp. lapponica
Dactylorhiza maculata s.lat.,
Dactylorhiza majalis s.lat.,
Dactylorhiza majalis ssp. alpestris,
Dactylorhiza majalis ssp. brevifolia,
Dactylorhiza majalis ssp. majalis,Dactylorhiza majalis subsp. majalis
Dactylorhiza sambucina,Dactylorhiza sambucina
Dactylorhiza traunsteineri,Dactylorhiza traunsteineri subsp. traunsteineri
Danthonia decumbens s.lat.,
Danthonia decumbens ssp. decipiens,Danthonia decumbens subsp. decipiens
Danthonia decumbens ssp. decumbens,Danthonia decumbens subsp. decumbens
Daphne alpina,Daphne alpina subsp. alpina
Daphne cneorum,Daphne cneorum
Daphne laureola,Daphne laureola
Daphne mezereum,Daphne mezereum
Daphne striata,Daphne striata
Dasiphora fruticosa,
Datura innoxia,
Datura stramonium,Datura stramonium
Datura wrightii,
Daucosma laciniata,
Daucus carota ssp. carota,Daucus carota subsp. carota
Delphinium elatum s.lat.,
Delphinium elatum ssp. austriacum,
Delphinium elatum ssp. stiriacum,
Delphinium oxysepalum,Delphinium oxysepalum
Deschampsia cespitosa,Deschampsia cespitosa subsp. cespitosa
Descurainia sophia,Descurainia sophia
Deutzia scabra,
Dianthus alpinus,Dianthus alpinus
Dianthus arenarius,Dianthus arenarius subsp. arenarius
Dianthus armeria ssp. armeria,Dianthus armeria
Dianthus barbatus,Dianthus barbatus subsp. barbatus
Dianthus carthusianorum s.lat.,
Dianthus carthusianorum ssp. capillifrons,Dianthus carthusianorum subsp. capillifrons
Dianthus carthusianorum ssp. carthusianorum,Dianthus carthusianorum subsp. carthusianorum
Dianthus carthusianorum ssp. latifolius,Dianthus carthusianorum subsp. latifolius
Dianthus carthusianorum ssp. vaginatus,Dianthus carthusianorum subsp. vaginatus
Dianthus collinus,Dianthus carthusianorum subsp. vaginatus
Dianthus deltoides,Dianthus deltoides subsp. deltoides
Dianthus glacialis,Dianthus deltoides subsp. deltoides
Dianthus gratianopolitanus,Dianthus gratianopolitanus
Dianthus moravicus,Dianthus moravicus
Dianthus plumarius s.lat.,
Dianthus plumarius ssp. blandus,
Dianthus plumarius ssp. hoppei,Dianthus plumarius subsp. hoppei
Dianthus plumarius ssp. lumnitzeri,Dianthus plumarius subsp. lumnitzeri
Dianthus pontederae,Dianthus pontederae
Dianthus sternbergii,Dianthus sternbergii
Dianthus superbus ssp. alpestris,Dianthus superbus subsp. alpestris
Dianthus superbus ssp. superbus,Dianthus superbus subsp. superbus
Dianthus sylvestris,Dianthus sylvestris subsp. sylvestris
Dicentra formosa,
Dichodontium palustre,Dichodontium palustre
Dicranum bonjeanii,Dicranum bonjeanii
Dicranum elongatum,Dicranum elongatum
Dicranum flexicaule,Dicranum flexicaule
Dicranum fuscescens,Dicranum fuscescens
Dicranum montanum,Dicranum montanum
Dicranum polysetum,Dicranum polysetum
Dicranum scoparium,Dicranum scoparium
Dicranum spadiceum,Dicranum spadiceum
Dicranum undulatum,Dicranum undulatum
Dicranum viride,Dicranum viride
Dictamnus albus,Dictamnus albus
Didymodon asperifolius,Didymodon asperifolius
Digitalis grandiflora,Digitalis grandiflora
Digitalis lutea,Digitalis lutea
Digitalis purpurea,
Digitaria ischaemum,Digitaria ischaemum
Digitaria sanguinalis ssp. pectiniformis,Digitaria sanguinalis subsp. pectiniformis
Digitaria sanguinalis ssp. sanguinalis,Digitaria sanguinalis subsp. sanguinalis
Diphasiastrum alpinum,Diphasiastrum alpinum
Diphasiastrum complanatum ssp. complanatum,Diphasiastrum complanatum subsp. complanatum
Diphasiastrum tristachyum,Diphasiastrum tristachyum
Diploschistes muscorum,Diploschistes muscorum
Diplotaxis erucoides,Diplotaxis erucoides
Diplotaxis muralis,Diplotaxis muralis
Diplotaxis tenuifolia,Diplotaxis tenuifolia
Dipsacus fullonum,Dipsacus fullonum
Dipsacus laciniatus,Dipsacus laciniatus
Dipsacus pilosus,Dipsacus pilosus
Dipsacus strigosus,
Distichium capillaceum,Distichium capillaceum
Ditrichum flexicaule,Ditrichum flexicaule
Dittrichia graveolens,Dittrichia graveolens
Doronicum austriacum,Doronicum austriacum
Doronicum clusii s.lat,
Doronicum clusii ssp. clusii,Doronicum clusii subsp. clusii
Doronicum clusii ssp. villosum,Doronicum clusii subsp. villosum
Doronicum glaciale s.lat.,
Doronicum glaciale ssp. calcareum,Doronicum glaciale subsp. calcareum
Doronicum glaciale ssp. glaciale,Doronicum glaciale subsp. glaciale
Doronicum grandiflorum,Doronicum grandiflorum subsp. grandiflorum
Doronicum orientale,Doronicum orientale
Doronicum pardalianches,Doronicum pardalianches
Dorycnium germanicum,Cynoglossum germanicum subsp. germanicum
Dorycnium herbaceum,Dorycnium pentaphyllum subsp. herbaceum
Dorycnium pentaphyllum agg.,
Draba aizoides s.lat.,
Draba aizoides ssp. aizoides,Draba aizoides subsp. aizoides
Draba aizoides ssp. beckeri,Draba aizoides subsp. beckeri
Draba aizoides ssp. zmudae,
Draba aspera,Draba aspera
Draba boerhaavii,Draba boerhaavii
Draba dubia,Draba dubia subsp. dubia
Draba fladnizensis,Draba fladnizensis
Draba hoppeana,Draba hoppeana
Draba muralis,Draba muralis
Draba pacheri,Draba pacheri
Draba praecox,Draba praecox
Draba sauteri,Draba sauteri
Draba siliquosa,Draba siliquosa
Draba stellata,Draba stellata
Draba tomentosa,Draba tomentosa subsp. tomentosa
Draba verna agg.,
Draba verna s.str.,Draba verna
Drepanocladus aduncus,Drepanocladus aduncus
Drosera anglica,Drosera anglica
Drosera intermedia,Drosera intermedia
Drosera rotundifolia,Drosera rotundifolia
Dryas octopetala,Dryas octopetala
Drymocallis rupestris,Drymocallis rupestris
Dryopteris affinis,Dryopteris affinis subsp. affinis var. affinis
Dryopteris affinis agg.,
Dryopteris borreri,Dryopteris borreri
Dryopteris cambrensis,Dryopteris cambrensis
Dryopteris carthusiana agg.,
Dryopteris carthusiana s.str.,Dryopteris carthusiana
Dryopteris cristata,Dryopteris cristata
Dryopteris dilatata,Dryopteris dilatata
Dryopteris expansa,Dryopteris expansa
Dryopteris filix-mas s.str.,Dryopteris filix-mas
Dryopteris pseudodisjuncta,
Dryopteris remota,Dryopteris remota
Dryopteris villarii s.str.,Dryopteris villarii
Dysphania ambrosioides,Dysphania ambrosioides
Dysphania botrys,Dysphania botrys
Dysphania pumilio,Dysphania pumilio
Dysphania schraderiana,Dysphania schraderiana
Echinacea purpurea,
Echinochloa crus-galli s.lat.,
Echinochloa crus-galli ssp. crus-galli,Echinochloa crus-galli subsp. crus-galli
Echinochloa crus-galli ssp. spiralis,
Echinochloa esculenta,Echinochloa esculenta
Echinochloa frumentacea,
