"","id","taxon","l","t","k","f","r","n"
"195","698","Anthemis ruthenica","9","7","6","3","7","4"
"196","700","Anthemis tinctoria","8","6","5","3","6","4"
"197","704","Anthericum liliago","7","6","4","3","5","2"
"198","705","Anthericum ramosum","7","5","4","3","7","3"
"199","712","Anthoxanthum alpinum","7","3","?","6","2","2"
"200","714","Anthoxanthum odoratum","x","x","x","x","5","x"
"201","715","Anthoxanthum puelii","7","6","2","x","2","3"
"202","717","Anthriscus caucalis","8","6","2","5","6","6"
"203","718","Anthriscus cerefolium","6","7","6","5","x","8"
"204","721","Anthriscus nitida","4","4","4","6","8","8"
"205","722","Anthriscus sylvestris","7","x","5","5","x","8"
"206","726","Anthyllis vulneraria","8","6","3","3","7","2"
"207","727","Anthyllis vulneraria ssp. alpestris","8","2","4","4","8","2"
"208","733","Antirrhinum majus","7","7","2","5","7","6"
"209","744","Apera interrupta","9","7","3","2","4","1"
"210","745","Apera spica-venti","6","6","4","6","5","x"
"211","747","Aphanes arvensis","6","6","2","6","x","5"
"212","0","Aphanes inexspectata","7","7","2","5","4","4"
"213","756","Apium graveolens","9","6","2","8","7","8"
"214","0","Apium inundatum","7","6","2","10","x","2"
"215","0","Apium nodiflorum","7","8","3","10","x","6"
"216","757","Apium repens","9","6","3","7","7","7"
"217","761","Aposeris foetida","4","4","4","5","6","5"
"218","764","Aquilegia atrata","6","4","4","4","8","3"
"219","0","Aquilegia einseliana (aquilegioides)","7","3","4","5","9","4"
"220","768","Aquilegia vulgaris","6","6","4","4","7","4"
"221","770","Arabidopsis thaliana","6","6","3","4","4","4"
"222","773","Arabis alpina","7","3","3","5","9","3"
"223","774","Arabis auriculata","7","7","6","3","7","3"
"224","786","Arabis pauciflora","4","7","4","3","8","3"
"225","777","Arabis caerulea","8","2","4","7","9","4"
"226","779","Arabis ciliata","9","2","4","5","9","3"
"227","780","Arabis glabra","6","6","2","3","8","5"
"228","782","Arabis hirsuta agg.","","","","","",""
"229","781","Arabis hirsuta hirsuta","7","5","3","4","8","x"
"230","784","Arabis hirsuta nemorensis","7","6","5","7","6","4"
"231","784","Arabis planisiliqua","7","7","5","7","7","4"
"232","0","Arabis pumila","9","2","4","x","9","2"
"233","790","Arabis soyeri ssp. subcoriacea","9","2","4","9","9","2"
"234","793","Arabis turrita","6","7","4","3","7","3"
"235","798","Arctium lappa","9","6","4","5","7","9"
"236","800","Arctium minus","9","5","3","5","x","8"
"237","801","Arctium nemorosum","6","6","2","7","7","9"
"238","802","Arctium tomentosum","8","5","7","5","8","9"
"239","809","Arctostaphylos alpinus","7","2","5","5","x","2"
"240","810","Arctostaphylos uva-ursi","6","x","5","3","x","2"
"241","814","Aremonia agrimonoides","4","7","4","5","8","6"
"242","816","Arenaria biflora","8","2","4","7","5","2"
"243","822","Arenaria multicaulis","9","2","3","5","8","2"
"244","825","Arenaria serpyllifolia agg.","8","x","x","4","7","x"
"245","833","Aristolochia clematitis","6","7","3","4","8","8"
"246","0","Armeria alliacea (arenaria)","8","8","2","3","6","2"
"247","835","Armeria maritima alpina","9","1","?","4","x","1"
"248","837","Armeria vulgaris ssp. vulgaris","7","6","3","3","6","2"
"249","838","Armeria vulgaris ssp. serpentini","8","5","3","3","5","1"
"250","0","Armeria maritima halleri","9","x","2","3","6","1"
"251","840","Armeria maritima maritima","8","6","2","6","5","4"
"252","0","Armeria maritima purpurea","8","6","3","10","7","2"
"253","842","Armoracia rusticana","8","6","3","5","x","9"
"254","847","Arnica montana","9","4","4","5","3","2"
"255","849","Arnoseris minima","7","6","2","4","3","3"
"256","851","Arrhenatherum elatius","8","5","3","x","7","7"
"257","854","Artemisia absinthium","9","6","7","4","7","8"
"258","856","Artemisia annua","9","7","7","4","7","6"
"259","860","Artemisia campestris","9","6","5","2","5","2"
"260","864","Artemisia genipi","8","1","?","6","8","?"
"261","0","Artemisia maritima","9","6","x","5","x","7"
"262","0","Artemisia mutellina (laxa)","9","2","6","3","4","2"
"263","869","Artemisia pontica","9","7","6","3","7","4"
"264","0","Artemisia rupestris","9","6","8","7","8","3"
"265","873","Artemisia verlotiorum","9","6","3","6","7","8"
"266","875","Artemisia vulgaris","7","6","x","6","x","8"
"267","956","Arum maculatum agg.","3","6","2","7","7","8"
"268","959","Aruncus vulgaris","4","5","4","6","x","8"
"269","961","Asarum europaeum","3","6","5","5","7","6"
"270","969","Asparagus officinalis","6","6","7","3","x","4"
"271","972","Asperugo procumbens","7","6","6","4","8","9"
"272","976","Asperula arvensis","7","7","3","4","9","3"
"273","977","Asperula cynanchica","7","x","5","3","8","3"
"274","982","Asperula taurina","5","7","?","5","8","6"
"275","984","Asperula tinctoria","5","6","6","4","9","3"
"276","1032.","Asplenium adiantum-nigrum","6","7","2","4","2","3"
"277","1033.","Asplenium adulterinum","5","4","4","5","6","1"
"278","1054.","Asplenium x alternifolium","7","4","4","4","3","2"
"279","0","Asplenium billotii","5","6","1","5","4","?"
"280","1038.","Asplenium cuneifolium","6","5","4","5","6","1"
"281","1039.","Asplenium fissum","7","2","4","5","8","3"
"282","1040.","Asplenium fontanum","6","5","2","6","8","2"
"283","1042.","Asplenium ruta-muraria","8","x","3","3","8","2"
"284","1046.","Asplenium seelosii","8","2","4","3","9","1"
"285","1047.","Asplenium septentrionale","8","x","4","3","2","2"
"286","1048.","Asplenium trichomanes","5","x","3","5","x","3"
"287","1053.","Asplenium viride","4","4","3","6","8","?"
"288","1056.","Aster alpinus","9","2","5","5","7","2"
"289","1057.","Aster amellus","8","6","6","4","9","3"
"290","1058.","Aster bellidiastrum","7","3","4","5","8","4"
"291","1062.","Aster linosyris","8","7","5","2","8","2"
"292","1063.","Aster novae-angliae","7","6","5","7","7","9"
"293","1064.","Aster novi-belgii agg.","","","","","",""
"294","1060.","Aster novi-belgii laevis","8","7","6","6","8","9"
"295","1061.","Aster novi-belgii lanceolatus","7","7","6","6","x","8"
"296","1065.","Aster novi-belgii novi-belgii","9","6","2","6","7","9"
"297","0","Aster novi-belgii x salignus","7","6","5","6","8","9"
"298","0","Aster novi-belgii tradescantii","7","6","2","7","8","9"
"299","1068.","Aster tripolium","8","6","x","x","7","7"
"300","1084.","Astragalus alpinus","9","2","7","4","6","?"
"301","1085.","Astragalus arenarius","7","7","7","2","7","1"
"302","1087.","Astragalus australis","9","1","8","5","7","2"
"303","1089.","Astragalus cicer","7","6","4","4","9","2"
"304","1090.","Astragalus danicus","8","7","7","3","9","2"
"305","1093.","Astragalus exscapus","7","6","6","3","9","2"
"306","1095.","Astragalus frigidus","8","2","7","4","9","2"
"307","1096.","Astragalus glycyphyllos","6","6","4","4","7","3"
"308","1101.","Astragalus onobrychis","8","7","6","2","9","1"
"309","1102.","Astragalus penduliflorus","7","1","7","4","7","1"
"310","1108.","Astrantia bavarica","7","2","4","5","8","4"
"311","1110.","Astrantia major","6","4","4","6","8","5"
"312","1123.","Athamantha cretensis","9","3","4","4","9","2"
"313","1127.","Athyrium distentifolium","5","3","3","6","6","7"
"314","1128.","Athyrium filix-femina","3","x","3","7","x","6"
"315","0","Atriplex calotheca","9","6","x","6","7","8"
"316","0","Atriplex glabriuscula","9","6","4","7","7","9"
"317","1145.","Atriplex hastata prostrata","8","6","x","6","x","9"
"318","1142.","Atriplex heterosperma","9","6","8","5","x","6"
"319","1140.","Atriplex hortensis","7","6","x","5","7","8"
"320","0","Atriplex laciniata (sabulosa)","9","6","x","7","7","8"
"321","1141.","Atriplex littoralis","9","6","x","x","x","9"
"322","0","Atriplex longipes ssp. longipes","9","6","?","6","x","8"
"323","1143.","Atriplex oblongifolia","9","7","6","4","6","6"
"324","1144.","Atriplex patula","6","6","x","5","7","7"
"325","1146.","Atriplex rosea","9","6","7","5","7","7"
"326","1147.","Atriplex sagittata","9","7","7","x","7","7"
"327","1148.","Atriplex tatarica","9","7","8","3","x","6"
"328","1151.","Atropa bella-donna","6","x","2","5","8","8"
"329","1164.","Aurinia saxatilis ssp. arduini","9","7","4","2","8","1"
"330","1168.","Avena fatua","6","6","6","5","7","x"
"331","1169.","Avena nuda (strigosa)","7","x","x","5","4","5"
"332","1174.","Avenella flexuosa","6","x","2","x","2","3"
"333","1183.","Avenula pratensis","7","6","4","3","x","2"
"334","1187.","Avenula pubescens","5","x","3","3","x","4"
"335","1190.","Avenula versicolor","9","2","3","5","3","2"
"336","1197.","Azolla caroliniana","7","7","2","11","?","7"
"337","1196.","Azolla filiculoides","6","8","3","11","x","8"
"338","0","Baldellia ranunculoides","8","6","1","10","x","2"
"339","1256.","Ballota nigra","8","6","5","5","x","8"
"340","1260.","Barbarea intermedia","8","6","2","5","x","7"
"341","1261.","Barbarea stricta","8","6","7","7","7","8"
"342","1262.","Barbarea verna","8","6","2","5","x","6"
"343","1263.","Barbarea vulgaris","8","6","3","6","x","6"
"344","1299.","Bartsia alpina","8","3","3","8","7","3"
"345","0","Bassia hirsuta","9","6","6","8","7","5"
"346","1332.","Bellis perennis","8","x","2","5","x","6"
"347","1340.","Berberis vulgaris","7","x","4","4","8","3"
"348","1346.","Berteroa incana","9","6","7","3","6","4"
"349","1350.","Berula erecta","8","6","3","10","8","6"
"350","0","Beta vulgaris ssp. maritima","9","6","4","6","7","9"
"351","1355.","Betonica alopecurus","7","2","4","5","8","3"
"352","1357.","Betonica officinalis","7","6","5","x","x","3"
"353","1359.","Betula humilis","7","5","8","9","4","3"
"354","1360.","Betula nana","8","3","6","9","1","2"
"355","1361.","Betula pendula","7","x","x","x","x","x"
"356","1362.","Betula pubescens","7","x","x","8","3","3"
"357","1363.","Betula carpatica","9","4","x","x","1","1"
"358","1388.","Bidens cernua","8","6","5","9","7","9"
"359","1389.","Bidens connata","8","7","5","9","7","9"
"360","1390.","Bidens frondosa","7","6","x","8","7","8"
"361","1392.","Bidens radiata","9","6","5","9","6","8"
"362","1393.","Bidens tripartita","8","6","x","9","x","8"
"363","1397.","Bifora radians","7","7","4","3","9","?"
"364","1399.","Biscutella laevigata","8","x","4","x","7","2"
"365","1407.","Blackstonia acuminata","8","9","3","7","6","3"
"366","1408.","Blackstonia perfoliata","8","7","3","7","9","4"
"367","1413.","Blechnum spicant","3","x","2","6","2","3"
"368","1420.","Blysmus compressus","8","x","5","8","8","3"
"369","0","Blysmus rufus","8","6","x","7","7","4"
"370","1422.","Bolboschoenus maritimus ssp. maritimus","8","6","x","10","8","7"
"371","1428.","Bothriochloa ischaemum","9","7","6","3","8","3"
"372","1431.","Botrychium lunaria","8","x","3","4","x","2"
"373","1432.","Botrychium matricariifolium","7","x","4","4","3","2"
"374","1433.","Botrychium multifidum","6","4","4","6","4","2"
"375","1434.","Botrychium simplex","6","4","4","5","1","2"
"376","1435.","Botrychium virginianum","6","3","4","5","4","1"
"377","1447.","Brachypodium pinnatum","6","5","5","4","7","4"
"378","1449.","Brachypodium rupestre","7","5","4","4","7","3"
"379","1451.","Brachypodium sylvaticum","3","5","3","5","6","6"
"380","1484.","Brassica elongata","9","7","7","4","8","5"
"381","1489.","Brassica nigra","8","7","5","8","8","7"
"382","1490.","Brassica oleracea ssp. oleracea","8","7","2","5","x","8"
"383","1499.","Briza media","8","x","3","x","x","2"
"384","1505.","Bromus arvensis","6","6","4","4","8","4"
"385","1509.","Bromus commutatus","6","7","4","4","7","3"
"386","1511.","Bromus erectus","8","5","2","3","8","3"
"387","1528.","Bromus grossus (secalinus ssp. mult.)","6","7","4","5","7","?"
"388","1513.","Bromus hordeaceus","7","6","3","x","x","3"
"389","0","Bromus hordeaceus ssp. thominii","8","6","2","4","4","2"
"390","1518.","Bromus hordeaceus lepidus","8","6","2","4","7","5"
"391","1515.","Bromus inermis","8","x","7","4","8","5"
"392","1516.","Bromus japonicus","8","7","7","4","8","3"
"393","1524.","Bromus racemosus","6","6","2","8","5","5"
"394","1506.","Bromus benekenii","5","5","4","5","7","5"
"395","1526.","Bromus ramosus","6","6","2","5","7","6"
"396","1529.","Bromus secalinus","6","6","3","x","5","x"
"397","1530.","Bromus squarrosus","8","8","7","3","8","3"
"398","1531.","Bromus sterilis","7","6","4","4","x","5"
"399","1532.","Bromus tectorum","8","6","7","3","8","4"
"400","1533.","Bromus willdenowii","7","7","?","4","?","?"
"401","1558.","Bryonia alba","7","6","5","5","7","6"
"402","1559.","Bryonia dioica","7","6","3","5","8","6"
"403","1677.","Buddleja davidii","8","7","4","4","7","4"
"404","1735.","Lithospermum arvense","5","6","5","x","7","5"
"405","1737.","Lithospermum purpurocaeruleum","5","7","4","4","7","4"
"406","1740.","Bunias orientalis","7","6","5","5","8","5"
"407","1742.","Bunium bulbocastanum","7","7","2","4","9","4"
"408","1744.","Buphthalmum salicifolium","8","x","4","4","8","3"
"409","1750.","Bupleurum falcatum","6","6","6","3","9","3"
"410","1752.","Bupleurum longifolium","5","x","6","4","9","5"
"411","1757.","Bupleurum ranunculoides","9","2","5","5","9","3"
"412","1758.","Bupleurum rotundifolium","8","7","4","3","9","4"
"413","1759.","Bupleurum stellatum","8","3","5","4","3","3"
"414","1760.","Bupleurum tenuissimum","9","6","4","7","8","4"
"415","1762.","Butomus umbellatus","6","6","5","10","x","7"
"416","0","Butomus umbellatus var. vallisneriifoliu","6","6","5","11","7","7"
"417","1767.","Buxus sempervirens","5","8","2","4","8","4"
"418","1771.","Cakile maritima","9","6","x","6","x","8"
"419","1775.","Calamagrostis arundinacea","6","5","4","5","4","5"
"420","1776.","Calamagrostis canescens","6","6","5","9","6","5"
"421","1778.","Calamagrostis epigejos","7","5","7","x","x","6"
"422","1779.","Calamagrostis phragmitoides","7","4","?","8","x","3"
"423","1780.","Calamagrostis pseudophragmites","8","6","8","7","9","3"
"424","1781.","Calamagrostis stricta","9","5","x","9","x","2"
"425","1782.","Calamagrostis varia","7","3","4","5","8","3"
"426","1783.","Calamagrostis villosa","6","4","4","7","2","2"
"427","1789.","Calamintha nepeta agg.","8","7","3","3","9","3"
"428","1795.","Caldesia parnassifolia","7","7","4","10","8","7"
"429","1797.","Calendula arvensis","7","8","3","4","8","6"
"430","1800.","Calepina irregularis","8","9","3","3","8","4"
"431","1816.","Calla palustris","6","6","6","9","6","4"
"432","1840.","Callitriche hermaphroditica","7","6","5","12","4","3"
"433","1842.","Callitriche palustris agg.","","","","","",""
"434","0","Callitriche brutia","8","6","3","10","?","5"
"435","1838.","Callitriche cophocarpa","8","x","?","10","8","5"
"436","1839.","Callitriche hamulata","8","4","2","10","6","4"
"437","1841.","Callitriche obtusangula","8","6","?","11","7","7"
"438","1843.","Callitriche palustris","6","x","x","11","5","4"
"439","1844.","Callitriche platycarpa","7","6","2","11","7","7"
"440","1845.","Callitriche stagnalis","6","5","?","10","6","4"
"441","1847.","Calluna vulgaris","8","x","3","x","1","1"
"442","1952.","Caltha palustris","7","x","x","9","x","6"
"443","12176","Willemetia stipitata","9","3","4","9","7","4"
"444","1967.","Calystegia pulchra","6","6","?","5","?","7"
"445","1968.","Calystegia sepium","8","6","5","6","7","9"
"446","0","Calystegia soldanella","8","6","2","4","7","5"
"447","1972.","Camelina alyssum","7","6","6","5","6","4"
"448","1975.","Camelina microcarpa","7","6","7","4","8","4"
"449","1979.","Camelina sativa","7","7","6","4","7","6"
"450","1986.","Campanula alpina","7","2","4","5","4","2"
"451","1987.","Campanula barbata","7","2","4","5","1","2"
"452","0","Campanula baumgartenii","7","7","4","5","6","3"
"453","1992.","Campanula bononiensis","7","6","6","3","8","2"
"454","1996.","Campanula cenisia","8","1","7","5","8","3"
"455","1997.","Campanula cervicaria","6","6","5","5","8","4"
"456","1998.","Campanula cespitosa","9","2","5","5","8","3"
"457","1999.","Campanula cochleariifolia","8","3","4","7","x","3"
"458","2003.","Campanula glomerata","7","x","7","4","7","3"
"459","2004.","Campanula latifolia","4","5","5","6","8","8"
"460","2010.","Campanula patula","8","6","4","5","7","5"
"461","2013.","Campanula persicifolia","5","5","4","4","8","3"
"462","2018.","Campanula rapunculoides","6","6","4","4","7","4"
"463","2019.","Campanula rapunculus","7","7","2","3","7","4"
"464","2020.","Campanula rhomboidalis","6","3","4","5","x","7"
"465","2022.","Campanula rotundifolia","7","5","x","x","x","2"
"466","2023.","Campanula scheuchzeri","8","2","4","5","x","3"
"467","2029.","Campanula thyrsoides","8","2","4","5","7","4"
"468","2032.","Campanula trachelium","4","x","3","6","8","8"
"469","2101.","Capsella bursa-pastoris","7","x","x","5","x","6"
"470","2117.","Cardamine alpina","7","1","4","7","4","4"
