Taxon,L,T,K,F,R,N,,FZ,S
Cruciata laevipes,7,5,4,6,6,7,,,0
Cruciata pedemontana,8,8,6,3,7,2,,,0
Crupina vulgaris,9,8,7,2,8,2,,,0
Cryptogramma crispa,8,3,i,5,2,2,,,0
Cucumis melo,8,9,2,6,5,7,,,0
Cucumis sativus,8,9,2,6,6,8,,,1
Cucurbita maxima,8,7,2,6,5,7,,,0
Cucurbita pepo,8,7,3,6,6,7,,,1
Cuscuta campestris,8,7,4,4,i,i,,,1
Cuscuta epilinum,8,7,i,4,i,i,,,0
Cuscuta epithymum subsp. epithymum,8,6,i,4,i,i,,,1
Cuscuta europaea,7,6,6,7,i,i,,,0
Cuscuta gronovii,8,7,i,7,i,i,,,0
Cuscuta lupuliformis,8,6,7,8,i,i,,,0
Cuscuta scandens subsp. cesatiana,8,7,5,6,i,i,,,0
Cuscuta suaveolens,8,6,5,4,i,i,,,0
Cyclamen coum,3,8,7,4,5,3,,,0
Cyclamen hederifolium,4,8,4,5,6,5,,,0
Cyclamen purpurascens,3,5,4,4,7,5,,,0
Cydonia oblonga,7,7,7,4,7,4,,,0
Cymbalaria muralis,7,6,5,3,7,5,,,0
Cymbalaria pallida,7,8,4,2,7,2,,,0
Cynara cardunculus,9,9,4,4,6,7,,,1
Cynodon dactylon,8,7,i,3,6,5,,,2
Cynoglossum germanicum,6,6,4,5,7,7,,,0
Cynoglossum hungaricum,8,8,6,2,7,5,,,0
Cynoglossum officinale,8,6,i,4,7,7,,~,1
Cynoglottis barrelieri,9,8,5,3,9,4,,,0
Cynosurus cristatus,8,5,4,5,5,4,,~,0
Cynosurus echinatus,9,8,4,3,5,4,,,0
Cyperus badius,8,7,i,9,6,6,,=,0
Cyperus congestus,8,8,5,9,6,6,,=,0
Cyperus difformis,8,8,5,9,6,6,,=,0
Cyperus eragrostis,7,8,4,8,6,6,,=,0
Cyperus esculentus,8,9,3,8,6,6,,=,1
Cyperus flavescens,9,6,6,8,6,4,,=,1
Cyperus fuscus,9,6,i,8,6,6,,=,2
Cyperus glomeratus,8,9,5,9,5,5,,=,0
Cyperus longus,8,8,i,9,6,5,,=,0
Cyperus michelianus,9,7,7,8,7,6,,=,0
Cyperus pannonicus,9,8,8,8,8,2,,=,5
Cyperus rotundus,8,9,5,7,5,6,,=,1
Cyperus serotinus,8,7,5,11,5,5,,,0
Cyperus strigosus,8,8,5,10,6,6,,,0
Cypripedium calceolus,5,5,6,4,8,4,,~,0
Cystopteris alpina,7,3,4,6,8,3,,,0
Cystopteris dickieana,7,2,7,6,7,1,,,0
Cystopteris fragilis,i,i,i,6,7,4,,~,0
Cystopteris montana,4,3,6,7,8,4,,~,0
Cystopteris sudetica,5,4,7,5,7,3,,,0
Cytisus austriacus,8,8,8,3,8,2,,,0
Cytisus hirsutus,7,6,7,3,i,3,,~,0
Cytisus hirsutus subsp. ciliatus,8,7,7,3,4,3,,~,0
Cytisus hirsutus subsp. hirsutus,7,6,7,3,7,3,,,0
Cytisus hirsutus subsp. supinus,7,6,5,3,7,3,,,0
Cytisus nigricans subsp. nigricans,6,6,6,4,6,3,,,0
Cytisus procumbens,8,8,7,2,7,2,,,0
Cytisus purpureus,7,7,7,3,8,2,,,0
Cytisus ratisbonensis,7,7,8,2,7,2,,,0
Cytisus scoparius subsp. scoparius,7,5,2,4,3,3,,,0
Dactylis glomerata,7,5,i,5,6,6,,,1
Dactylis glomerata subsp. glomerata,7,5,i,5,6,7,,,1
Dactylis glomerata subsp. reichenbachii,7,6,7,3,7,3,,,0
Dactylis polygama,5,6,5,5,6,5,,,0
Dactylorhiza cruenta,8,4,7,9,7,2,,,0
Dactylorhiza fuchsii,6,4,i,6,i,4,,,0
Dactylorhiza incarnata,8,6,i,8,7,3,,~,0
Dactylorhiza incarnata subsp. incarnata,8,6,i,8,7,3,,~,0
Dactylorhiza incarnata subsp. serotina,8,7,4,8,7,3,,~,0
Dactylorhiza lapponica,8,3,5,9,7,2,,,0
Dactylorhiza majalis,7,5,6,8,7,3,,~,0
Dactylorhiza majalis var. alpestris,8,3,4,9,3,2,,,0
Dactylorhiza majalis var. majalis,8,5,6,8,7,2,,~,0
Dactylorhiza ochroleuca,8,4,6,8,7,2,,~,0
Dactylorhiza sambucina,7,5,5,4,5,3,,,0
Dactylorhiza traunsteineri,8,4,i,9,4,3,,=,0
Dahlia pinnata,7,9,2,5,5,7,,,0
Danthonia alpina,9,6,4,3,6,2,,,0
Danthonia decumbens,8,i,4,i,i,2,,~,0
Danthonia decumbens subsp. decipiens,8,i,4,5,7,2,,,0
Danthonia decumbens subsp. decumbens,8,i,4,i,3,2,,~,0
Daphne alpina,8,5,5,2,9,1,,,0
Daphne cneorum,6,5,5,3,8,2,,,0
Daphne laureola,4,7,4,4,8,4,,,0
Daphne mezereum,4,5,i,5,7,5,,,0
Daphne striata,7,3,5,4,8,2,,,0
Dasiphora fruticosa,8,4,5,8,7,2,,,0
Dasypyrum villosum,8,9,5,2,6,4,,,0
Datura ferox,7,9,5,3,5,7,,,0
Datura innoxia,7,9,5,3,5,7,,,0
Datura stramonium,8,7,i,4,7,8,,,1
Daucus carota,8,6,i,4,6,4,,,1
Delphinium ajacis,9,7,6,4,7,5,,,0
Delphinium apolanum,5,3,7,7,3,7,,,0
Delphinium consolida,7,7,6,4,8,5,,,0
Delphinium consolida subsp. consolida,7,7,6,4,8,5,,,0
Delphinium consolida subsp. paniculatum,7,7,6,3,8,5,,,0
Delphinium elatum,6,3,7,7,7,7,,,0
Delphinium elatum subsp. austriacum,5,3,7,6,7,7,,,0
Delphinium elatum subsp. elatum,7,3,7,7,7,7,,,0
Delphinium elatum subsp. elatum var. apolanum,7,3,7,7,7,7,,,0
Delphinium elatum subsp. elatum var. elatum,7,3,7,7,7,7,,,0
Delphinium elatum subsp. elatum var. helveticum,5,3,7,7,7,7,,,0
Delphinium elatum subsp. elatum var. macropetalum,5,3,7,7,7,7,,,0
Delphinium elatum subsp. elatum var. polatschekii,5,3,7,7,7,7,,,0
Delphinium elatum subsp. elatum var. tiroliense,5,3,7,7,7,7,,,0
Delphinium hispanicum,8,7,8,4,8,4,,,0
Deschampsia cespitosa,6,5,i,7,5,5,,~,1
Deschampsia littoralis,8,3,4,9,7,3,,=,0
Descurainia sophia,8,6,7,4,7,6,,,1
Deutzia scabra,7,8,3,4,7,5,,,0
Dianthus alpinus,9,2,6,3,8,2,,,0
Dianthus armeria,7,6,4,5,5,3,,~,0
Dianthus barbatus,8,i,6,6,6,4,,,0
Dianthus carthusianorum,8,6,5,3,7,3,,,0
Dianthus carthusianorum subsp. capillifrons,8,6,5,3,7,3,,,0
Dianthus carthusianorum subsp. carthusianorum,8,5,6,3,6,2,,,0
Dianthus carthusianorum subsp. latifolius,8,5,4,3,7,3,,,0
Dianthus collinus subsp. collinus,7,7,7,4,7,3,,~,0
Dianthus deltoides,8,5,4,4,4,3,,,0
Dianthus giganteus subsp. croaticus,7,8,7,3,7,3,,,0
Dianthus glacialis,9,1,5,3,5,1,,,0
Dianthus gratianopolitanus,9,7,5,2,7,2,,,0
Dianthus moravicus,9,7,6,2,8,2,,,0
Dianthus plumarius,8,i,6,2,9,1,,,0
Dianthus plumarius subsp. blandus,7,4,6,2,9,1,,,0
Dianthus plumarius subsp. hoppei,7,6,6,2,9,1,,,0
Dianthus plumarius subsp. neilreichii,7,7,7,1,9,1,,,0
Dianthus plumarius subsp. plumarius,9,7,7,2,9,1,,,0
Dianthus pontederae,8,7,7,2,7,2,,,0
Dianthus serotinus,9,7,7,2,8,1,,,0
Dianthus sternbergii subsp. sternbergii,7,4,7,2,9,2,,,0
Dianthus superbus,8,i,5,6,i,3,,~,0
Dianthus superbus subsp. alpestris,8,3,5,6,5,3,,~,0
Dianthus superbus subsp. superbus,7,6,6,7,7,4,,~,0
Dianthus virgineus,7,6,4,4,i,2,,~,0
Dianthus virgineus subsp. inodorus,8,6,4,4,7,2,,~,0
Dianthus virgineus subsp. sylvestris,7,6,5,2,6,2,,,0
Dichanthelium acuminatum,8,7,3,7,5,4,,~,0
Dichodon cerastioides,8,1,5,8,4,7,,,0
Dichodon viscidum,8,8,7,7,7,5,,=,3
Dichoropetalum carvifolia,7,6,6,5,7,4,,~,0
Dictamnus albus,7,8,7,3,8,2,,,0
Digitalis ferruginea,7,8,7,3,7,3,,,0
Digitalis grandiflora,6,5,6,5,6,5,,,0
Digitalis lanata,8,8,7,3,8,3,,,0
Digitalis lutea,7,5,3,5,6,5,,,0
Digitalis purpurea,7,5,2,5,3,6,,,0
Digitaria ciliaris,7,7,5,3,7,3,,,0
Digitaria ischaemum,7,6,6,5,4,5,,,1
Digitaria sanguinalis,8,7,i,5,5,5,,~,1
Digitaria sanguinalis var. pectiniformis,8,7,4,5,5,5,,~,1
Digitaria sanguinalis var. sanguinalis,8,7,i,5,6,5,,~,1
Dinacrusa hirsuta,9,8,6,4,8,3,,,1
Dioscorea communis,5,7,3,5,7,5,,,0
Diphasiastrum alpinum,8,3,i,5,2,2,,,0
Diphasiastrum complanatum,6,5,6,5,1,2,,,0
Diphasiastrum complanatum agg.,6,5,6,5,1,2,,~,0
Diphasiastrum tristachyum,7,5,5,4,1,2,,~,0
Diphasiastrum x issleri (alp x com),7,4,4,5,1,2,,,0
Diphasiastrum x oellgaardii (alp x tri),8,4,4,5,1,2,,,0
Diphasiastrum x zeilleri (com x tri),7,4,6,4,1,2,,,0
Diplotaxis erucoides,8,9,4,3,5,6,,,0
Diplotaxis muralis,8,8,4,4,8,5,,,1
Diplotaxis tenuifolia,8,7,4,4,7,6,,,1
Dipsacus fullonum,8,6,4,6,7,7,,~,1
Dipsacus laciniatus,8,7,7,6,7,6,,,1
Dipsacus pilosus,6,7,5,6,7,7,,~,0
Dipsacus sativum,8,6,4,5,7,7,,,0
Dipsacus strigosus,7,7,i,6,7,7,,,0
Dittrichia graveolens,9,8,i,4,7,5,,,2
Dittrichia viscosa,9,8,5,3,7,7,,,1
Doronicum austriacum,5,3,4,7,7,7,,,0
Doronicum cataractarum,7,3,4,9,4,2,,=,0
Doronicum clusii,8,2,4,6,4,3,,,0
Doronicum columnae,7,3,5,6,9,5,,,0
Doronicum glaciale,8,2,5,6,i,2,,,0
Doronicum glaciale subsp. calcareum,8,2,5,6,9,1,,,0
Doronicum glaciale subsp. glaciale,8,1,6,6,6,3,,,0
Doronicum grandiflorum,8,2,3,5,9,3,,,0
Doronicum orientale,6,8,8,5,8,5,,,0
Doronicum pardalianches,4,6,5,5,6,6,,,0
Doronicum stiriacum,8,2,6,7,4,3,,,0
Draba aizoides,8,4,5,3,8,1,,,0
Draba aizoides subsp. aizoides,8,3,5,3,8,1,,,0
Draba aizoides subsp. beckeri,8,5,6,2,9,1,,,0
Draba aspera,8,3,5,3,8,1,,,0
Draba dolomitica,9,2,4,4,9,1,,,0
Draba dubia,9,1,6,2,7,1,,,0
Draba fladnizensis,8,2,7,3,5,2,,,0
Draba hoppeana,9,1,6,5,7,2,,,0
Draba incana,9,2,3,3,7,3,,,0
Draba lasiocarpa,8,8,7,1,9,1,,,0
Draba muralis,7,6,4,4,8,4,,,0
Draba nemorosa,9,6,8,4,7,4,,,0
Draba norvegica,8,2,7,4,9,3,,,0
Draba pacheri,6,2,7,4,8,2,,,0
Draba sauteri,9,2,5,3,9,1,,,0
Draba siliquosa,8,2,6,4,6,2,,,0
Draba stellata,8,2,5,3,9,1,,,0
Draba stylaris,8,3,7,2,7,6,,,0
Draba tomentosa,9,1,5,2,9,2,,,0
Draba verna s. lat.,9,6,i,4,6,3,,,0
Dracocephalum austriacum,8,7,8,2,9,1,,,0
Dracocephalum ruyschiana,7,4,8,4,7,2,,,0
Dracocephalum thymiflorum,8,5,6,7,3,3,,,1
Drosera anglica,8,4,i,9,3,2,,=,0
Drosera intermedia,9,5,3,9,2,2,,=,0
Drosera rotundifolia,8,4,i,9,1,1,,,0
Drosera x obovata,8,4,i,9,2,2,,,0
Dryas octopetala,9,2,6,4,8,2,,~,0
Drymocallis rupestris,7,6,6,3,6,3,,,0
Drymochloa drymeia,3,6,5,5,5,5,,,0
Drymochloa sylvatica,3,5,i,6,5,6,,,0
Dryopteris affinis,3,5,5,6,5,5,,,0
Dryopteris borreri,3,5,5,6,5,5,,,0
Dryopteris cambrensis subsp. insubrica,3,4,3,6,4,5,,,0
Dryopteris carthusiana,5,5,3,i,3,3,,,0
Dryopteris cristata,5,6,5,9,4,4,,,0
Dryopteris dilatata,4,i,4,6,4,5,,,0
Dryopteris expansa,4,4,6,6,4,4,,,0
Dryopteris filix-mas,4,i,i,5,5,5,,,0
Dryopteris lacunosa,3,4,3,6,5,5,,,0
Dryopteris pseudodisjuncta,3,5,2,6,7,5,,,0
Dryopteris remota,3,4,3,6,4,5,,,0
Dryopteris villarii,8,2,3,5,9,3,,,0
Dryopteris x complexa,3,5,4,6,5,5,,,0
Drypis spinosa subsp. jacquiniana,9,7,7,2,9,1,,,0
Dysphania ambrosioides,9,9,4,4,7,7,,,1
Dysphania botrys,9,8,7,3,7,6,,,0
Dysphania pumilio,9,8,5,4,7,8,,,1
Dysphania schraderiana,8,9,6,4,6,7,,,0
Ecballium elaterium,8,9,i,4,8,7,,,1
Echinacea purpurea,7,8,4,5,5,5,,,0
Echinochloa colona,8,8,6,6,6,8,,,0
Echinochloa crus-galli,7,7,i,5,6,8,,,1
Echinochloa esculenta,7,9,3,4,5,7,,,0
Echinochloa muricata,7,9,3,4,6,7,,,0
Echinocystis lobata,6,8,6,8,7,8,,=,0
Echinops bannaticus,7,8,7,4,7,5,,,0
Echinops exaltatus,7,7,7,4,8,7,,,0
Echinops ritro subsp. ruthenicus,8,8,8,2,8,3,,,0
Echinops sphaerocephalus,8,7,6,4,7,6,,,1
Echium italicum,9,9,6,3,7,4,,,0
Echium plantagineum,9,9,5,2,7,6,,,0
Echium vulgare,9,6,i,4,7,4,,,1
Eclipta prostrata,7,9,5,4,5,3,,,0
Egeria densa,6,8,3,12,6,6,,,0
Elaeagnus angustifolia,8,7,9,5,7,5,,~,2
Elatine alsinastrum,8,7,6,9,5,6,,=,1
Elatine ambigua,7,7,3,9,5,6,,=,0
Elatine hexandra,8,6,3,9,4,4,,=,0
Elatine hydropiper,8,6,5,9,4,5,,=,1
Elatine triandra,8,6,5,9,4,5,,=,0
Eleocharis acicularis,8,6,i,10,5,3,,~,0
Eleocharis carniolica,8,8,5,9,6,3,,,0
Eleocharis mamillata,8,5,i,10,5,5,,~,1
Eleocharis mamillata subsp. austriaca,8,5,5,10,5,4,,~,1
Eleocharis mamillata subsp. mamillata,8,5,i,10,5,5,,~,1
Eleocharis ovata,9,6,4,9,6,5,,=,1
Eleocharis palustris,8,5,i,10,6,6,,~,1
Eleocharis palustris subsp. palustris,8,5,i,10,6,6,,~,1
Eleocharis palustris subsp. waltersii,8,6,i,10,6,6,,~,1
Eleocharis quinqueflora,8,4,i,9,8,2,,,1
Eleocharis uniglumis,8,6,7,10,7,5,,~,4
Eleocharis uniglumis subsp. sterneri,8,7,7,10,7,5,,~,5
Eleocharis uniglumis subsp. uniglumis,8,6,7,10,7,5,,~,4
Eleusine indica,8,9,5,4,6,6,,,2
Eleusine tristachya,9,8,4,3,6,4,,,0
Elodea callitrichoides,7,8,3,12,6,7,,,0
Elodea canadensis,7,6,6,12,7,7,,,1
Elodea nuttallii,7,6,6,12,7,7,,,1
Elymus acutus,9,7,4,5,7,6,,~,4
Elymus aenaeanus,7,6,4,6,7,7,,,0
Elymus arenarius,8,6,i,4,7,4,,=,2
Elymus caninus,5,6,i,6,7,7,,,0
Elymus hispidus,7,7,7,3,7,4,,~,0
Elymus obtusiflorus,8,8,7,4,5,7,,,5
Elymus repens,7,5,i,5,6,7,,~,1
Empetrum hermaphroditum,8,3,6,6,2,2,,,0
Empetrum nigrum,7,4,i,6,2,2,,,0
Epilobium alpestre,7,3,4,6,7,7,,,0
Epilobium alsinifolium,8,2,3,9,6,4,,,0
Epilobium anagallidifolium,8,2,i,7,5,3,,,0
Epilobium angustifolium,8,4,i,5,5,6,,,0
Epilobium brachycarpum,7,8,3,3,4,4,,,0
Epilobium ciliatum,7,5,6,6,6,7,,~,1
Epilobium ciliatum subsp. adenocaulon,7,5,6,7,6,7,,~,1
Epilobium ciliatum subsp. ciliatum,7,5,6,5,6,7,,~,1
Epilobium collinum,7,4,6,5,4,4,,,0
Epilobium dodonaei,9,6,5,4,8,2,,=,0
Epilobium fleischeri,9,3,5,5,5,2,,=,0
Epilobium hirsutum,7,6,i,8,7,8,,=,1
Epilobium lanceolatum,7,7,4,4,3,4,,,0
Epilobium montanum,5,5,i,5,6,6,,,0
Epilobium nutans,9,3,4,9,3,3,,,0
Epilobium obscurum,7,5,3,8,4,5,,,1
Epilobium palustre,7,4,i,9,4,3,,,0
Epilobium parviflorum,7,5,i,8,8,6,,=,1
Epilobium roseum,7,6,i,8,7,8,,~,0
Epilobium tetragonum,7,6,i,8,6,6,,~,1
Epilobium tetragonum subsp. lamyi,7,7,4,7,6,6,,,0
Epilobium tetragonum subsp. tetragonum,7,6,i,8,6,6,,~,1
Epimedium alpinum,4,7,5,5,7,5,,,0
Epipactis albensis,4,6,6,6,6,6,,,0
Epipactis atrorubens,6,5,6,3,8,2,,,0
Epipactis bugacensis,4,8,5,6,7,5,,,0
Epipactis greuteri,2,6,7,7,7,6,,,0
Epipactis helleborine,4,i,i,5,7,4,,,0
Epipactis helleborine subsp. distans,5,5,7,4,8,3,,,0
Epipactis helleborine subsp. helleborine,4,5,i,5,7,5,,,0
Epipactis helleborine subsp. leutei,3,7,5,5,7,5,,,0
Epipactis leptochila,3,5,4,4,8,4,,,0
Epipactis microphylla,2,6,6,5,7,4,,,0
Epipactis muelleri,6,5,4,3,7,3,,,0
Epipactis neglecta,3,6,7,5,7,6,,,0
Epipactis nordeniorum,3,7,6,6,5,7,,,0
Epipactis palustris,8,5,i,8,8,2,,~,1
Epipactis pontica,3,6,5,4,7,5,,,0
Epipactis purpurata,2,6,5,5,7,6,,,0
Epipactis voethii,3,6,6,5,6,5,,,0
Epipogium aphyllum,2,4,6,5,6,4,,,0
Equisetum arvense,i,i,i,6,i,i,,~,1
Equisetum arvense subsp. alpestre,8,2,7,7,5,3,,=,0
Equisetum arvense subsp. arvense,i,5,i,6,i,i,,~,1
Equisetum fluviatile,8,4,i,10,4,5,,~,0
Equisetum hyemale,5,5,5,7,7,6,,~,0
Equisetum palustre,7,i,i,8,i,3,,~,1
Equisetum pratense,5,4,7,6,5,3,,~,0
Equisetum ramosissimum,8,7,7,4,7,3,,~,1
Equisetum sylvaticum,4,4,6,7,4,3,,~,0
Equisetum telmateia,6,6,3,8,7,5,,~,0
Equisetum variegatum,8,3,6,9,7,2,,=,0
Equisetum x moorei,7,7,6,7,7,4,,~,0
Equisetum x trachyodon,7,5,4,7,5,2,,~,0
Eragrostis albensis,8,6,6,5,7,6,,,1
Eragrostis cilianensis,7,9,i,3,8,4,,,0
Eragrostis curvula,7,9,3,3,i,4,,,0
Eragrostis frankii,7,9,5,2,5,4,,,0
Eragrostis mexicana,7,9,5,3,5,4,,,0
Eragrostis minor,8,7,6,3,7,6,,,1
Eragrostis multicaulis,8,7,i,3,5,5,,,1
Eragrostis pectinacea,8,8,4,4,5,4,,,0
Eragrostis pilosa,9,7,i,3,6,5,,,1
Eragrostis virescens,8,9,7,4,5,5,,,0
Eranthis hyemalis,5,7,6,5,8,5,,,0
Erechtites hieraciifolius,7,7,i,5,6,6,,,0
Eremogone procera subsp. glabra,8,8,8,3,8,2,,,0
Erica carnea,7,i,5,3,b,2,,,0
Erica spiculifolia,8,6,8,5,2,2,,,0
Erica tetralix,8,5,3,8,1,2,,,0
Erigeron acris,9,5,i,4,8,3,,,1
Erigeron acris subsp. acris,9,5,i,4,8,3,,,1
Erigeron acris subsp. angulosus,9,4,6,4,8,3,,=,0
Erigeron acris subsp. macrophyllus,8,5,7,4,5,3,,,0
Erigeron acris subsp. podolicus,8,7,7,3,8,3,,,1
Erigeron acris subsp. serotinus,8,6,5,4,6,3,,,0
Erigeron alpinus,9,3,5,4,5,3,,,0
Erigeron annuus,7,5,i,5,6,5,,,0
Erigeron annuus subsp. annuus,7,5,i,5,6,5,,,0
Erigeron annuus subsp. septentrionalis,7,5,i,5,6,7,,,0
Erigeron annuus subsp. strigosus,7,5,5,5,6,7,,,0
Erigeron atticus,8,3,5,5,6,3,,,0
Erigeron bonariensis,8,9,4,4,7,6,,,1
Erigeron canadensis,8,6,i,4,6,5,,,1
Erigeron glabratus,8,2,4,3,9,3,,,0
Erigeron glabratus var. candidus,8,2,4,3,9,2,,,0
Erigeron glabratus var. glabratus,9,2,4,4,9,3,,,0
Erigeron karvinskianus,7,8,4,3,5,3,,,0
Erigeron neglectus,9,2,6,4,8,3,,,0
Erigeron schleicheri,7,3,6,4,4,2,,,0
Erigeron sumatrensis,8,9,4,5,7,7,,,1
Erigeron uniflorus,9,1,4,5,5,2,,,0
Erinus alpinus,9,4,5,2,8,3,,,0
Eriobotrya japonica,7,9,3,5,5,5,,,0
Eriophorum angustifolium,8,i,i,9,4,2,,~,0
Eriophorum gracile,8,4,7,9,4,2,,=,0
Eriophorum latifolium,8,i,i,9,8,2,,~,1
Eriophorum scheuchzeri,9,1,i,10,4,2,,~,0
Eriophorum vaginatum,7,4,i,9,2,1,,~,0
Eritrichium nanum,9,1,6,4,2,2,,,0
Erodium ciconium,9,8,i,3,7,5,,,0
Erodium cicutarium,8,6,i,4,6,5,,,1
Erodium malacoides,9,9,5,3,6,6,,,1
Erodium manescavi,8,3,3,5,6,5,,,0
Erodium moschatum,8,7,i,3,6,4,,,0
Eruca sativa,8,8,i,4,7,6,,,0
Erucastrum gallicum,8,6,4,4,8,6,,,0
Eryngium alpinum,8,3,3,5,7,6,,,0
Eryngium campestre,9,7,i,3,7,3,,,0
Eryngium giganteum,7,3,7,2,7,7,,,0
Eryngium planum,8,7,8,6,7,4,,~,1
Erysimum andrzejowskianum,9,7,7,3,8,2,,,0
Erysimum aurantiacum,9,6,5,2,7,3,,,0
Erysimum aureum,5,7,8,5,5,7,,,0
Erysimum canum,9,8,8,1,8,1,,,0
Erysimum cheiranthoides,7,5,6,5,7,7,,,0
Erysimum cheiri,8,8,7,4,7,6,,,0
Erysimum cuspidatum,7,8,7,5,7,3,,,5
Erysimum diffusum,9,7,7,2,6,3,,,0
Erysimum hieraciifolium,7,6,7,4,7,6,,,0
Erysimum hieraciifolium subsp. hieraciifolium,7,6,7,4,7,6,,,0
Erysimum hieraciifolium subsp. virgatum,7,6,6,3,6,6,,,0
Erysimum hungaricum,7,3,7,4,i,2,,,0
Erysimum marschallianum,9,7,7,3,7,4,,,0
Erysimum odoratum,8,7,5,2,8,3,,,0
Erysimum repandum,8,7,7,4,8,5,,,2
Erysimum rhaeticum,9,4,5,2,6,2,,,0
Erysimum sylvestre,9,4,6,2,8,2,,,0
Erythronium dens-canis,3,7,4,5,7,4,,,0
Eschscholzia californica,9,7,5,4,5,4,,,0
Euclidium syriacum,9,8,8,4,7,5,,,0
Euonymus europaea,6,5,i,5,7,5,,,0
Euonymus japonicus,5,7,3,6,6,5,,,0
Euonymus latifolia,5,4,5,5,8,5,,,0
Euonymus verrucosa,6,7,7,4,7,4,,,0
Eupatorium cannabinum,7,5,i,7,7,8,,,0
Euphorbia amygdaloides,4,5,4,5,i,5,,,0
Euphorbia angulata,6,7,4,4,8,4,,,0
Euphorbia caesia,9,8,8,2,9,2,,,0
Euphorbia carniolica,4,6,5,4,7,5,,,0
Euphorbia cyparissias,8,5,i,3,i,3,,~,1
Euphorbia dulcis,4,5,3,5,7,5,,,0
Euphorbia epithymoides,7,7,6,3,8,4,,,0
Euphorbia esula,8,6,6,4,7,4,,,1
Euphorbia exigua,8,6,4,4,7,5,,,1
Euphorbia falcata,8,7,6,4,8,5,,,0
Euphorbia glareosa,7,8,8,3,8,3,,~,0
Euphorbia glyptosperma,8,8,5,4,7,4,,,0
Euphorbia helioscopia,7,6,i,5,7,7,,,0
Euphorbia humifusa,9,7,7,4,7,5,,,1
Euphorbia illirica,7,i,6,6,7,5,,~,0
Euphorbia illirica subsp. austriaca,7,3,3,6,8,6,,~,0
Euphorbia illirica subsp. illirica,7,7,6,6,5,4,,~,0
Euphorbia lathyris,6,7,i,4,7,6,,,0
Euphorbia lucida,7,7,7,8,7,6,,~,0
Euphorbia maculata,9,8,i,3,7,6,,,1
Euphorbia marginata,6,7,5,6,7,7,,,0
Euphorbia myrsinites,8,6,7,2,7,2,,,0
Euphorbia nutans,8,7,7,3,7,2,,,1
Euphorbia palustris,8,7,6,8,7,6,,~,2
Euphorbia peplus,6,6,i,4,7,7,,,0
Euphorbia platyphyllos,7,7,i,5,7,6,,,1
Euphorbia platyphyllos subsp. literata,7,7,i,5,6,6,,,1
Euphorbia platyphyllos subsp. platyphyllos,7,7,i,5,7,6,,,1
Euphorbia prostrata,9,8,4,3,5,5,,,1
Euphorbia rigida,8,7,6,2,7,2,,,0
Euphorbia salicifolia,7,7,8,4,8,3,,~,0
Euphorbia saratoi,8,6,6,4,7,4,,,0
Euphorbia saxatilis,5,5,5,1,9,1,,,0
Euphorbia segetalis,7,9,4,3,7,6,,,0
Euphorbia seguieriana,9,7,7,2,8,2,,,0
Euphorbia serpens,9,9,5,2,5,5,,,0
Euphorbia stricta,6,6,i,6,7,6,,,0
Euphorbia taurinensis,8,7,7,4,7,5,,,0
Euphorbia verrucosa,8,6,3,4,8,3,,~,0
Euphorbia virgata,9,7,6,4,8,3,,~,1
Euphrasia cuspidata,8,3,5,4,9,3,,,0
Euphrasia hirtella,8,3,i,4,4,2,,,0
Euphrasia inopinata,8,2,4,4,4,2,,,0
Euphrasia kerneri,8,6,6,8,8,3,,~,0
Euphrasia micrantha,8,5,3,4,2,1,,,0
Euphrasia minima,8,2,3,4,2,2,,,0
Euphrasia minima agg.,8,2,3,4,4,2,,,0
Euphrasia nemorosa,8,5,4,5,4,2,,,0
Euphrasia officinalis,8,i,5,i,i,4,,,0
Euphrasia officinalis subsp. picta,8,3,5,5,6,4,,,0
Euphrasia officinalis subsp. pratensis,8,i,5,5,i,4,,,0
Euphrasia salisburgensis,7,i,2,3,8,3,,,0
Euphrasia sinuata,8,3,4,4,5,2,,,0
Euphrasia stricta,8,6,6,4,6,2,,,0
Eurybia sibirica,7,7,9,7,6,4,,,1
Euthamia graminifolia,7,6,3,7,7,7,,,0
Facchinia cherlerioides,9,1,6,3,8,2,,,0
Facchinia rupestris,8,1,6,3,8,2,,,0
Fagopyrum esculentum,8,6,i,5,6,6,,,0
Fagopyrum tataricum,9,7,7,5,4,5,,,0
Fagus sylvatica,i,5,3,5,i,i,,,0
Falcaria vulgaris,7,7,6,3,8,4,,,0
Fallopia baldschuanica,7,7,8,5,7,7,,,0
Fallopia convolvulus,7,6,i,5,6,6,,,0
Fallopia dumetorum,6,6,i,5,7,7,,,0
Ferula communis,9,8,5,3,6,5,,,0
Ferulago galbanifera,6,9,6,2,7,2,,,0
Festuca alpestris,9,3,7,3,8,3,,,0
Festuca alpina,8,1,5,3,8,1,,,0
Festuca amethystina,6,5,5,3,7,2,,~,0
Festuca brachystachys,9,3,6,2,9,2,,,0
Festuca brachystachys subsp. brachystachys,9,2,6,2,9,1,,,0
Festuca brachystachys subsp. pallidula,8,4,6,2,9,2,,,0
Festuca bromoides,9,8,4,3,4,1,,,0
Festuca calva,8,6,5,2,9,2,,,0
Festuca danthonii,9,8,5,2,4,4,,,1
Festuca eggleri,7,5,7,2,7,1,,,0
Festuca filiformis,7,6,4,4,3,2,,,0
Festuca guestfalica,6,5,4,4,3,2,,,0
Festuca halleri,9,1,7,4,2,1,,,0
